video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes,frame_new
33477,322,Laser points,Laser points,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[545.89,611.42]]",[0],33486,2025-03-07T08:43:17Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",0
33478,322,Laser points,Laser points,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[590.76,590]]",[0],33487,2025-03-07T08:43:20Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",0
33479,359,flat,Slope category > flat,1,Birte,Schuppe,54,anevik_1_12_b.mp4,7,WholeFrame,[],[0],33488,2025-03-07T08:43:27Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",0
33480,319,Mud,Substrate > Mud,1,Birte,Schuppe,54,anevik_1_12_b.mp4,7,WholeFrame,[],[0],33489,2025-03-07T08:43:41Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",0
33481,482,Isidella stet.,VME gorgonian corals > Isidella stet.,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[574.02,971.69]]",[0],33490,2025-03-07T08:43:51Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",0
33482,469,mucus undeterminable,VME species mucus production > mucus undeterminable,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[565.98,999.15]]",[0],33491,2025-03-07T08:43:57Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",0
33483,468,polyps undeterminable,VME coral species polyp behaviour > polyps undeterminable,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[548.57,969.68]]",[0],33492,2025-03-07T08:44:02Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",0
33484,565,G-undeterminable,Health indicators Gorgonians > G-undeterminable,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[586.07,954.95]]",[0],33493,2025-03-07T08:44:08Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",0
33488,568,Crustacea stet.,Fauna > Crustacea stet.,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[1400.36,1058.14]]",[0],33497,2025-03-07T08:45:21Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",0
33490,482,Isidella stet.,VME gorgonian corals > Isidella stet.,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[1719.78,521.09]]",[0],33499,2025-03-07T08:49:59Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",0
33491,469,mucus undeterminable,VME species mucus production > mucus undeterminable,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[1694.33,531.8]]",[0],33500,2025-03-07T08:50:02Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",0
33492,468,polyps undeterminable,VME coral species polyp behaviour > polyps undeterminable,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[1671.56,559.26]]",[0],33501,2025-03-07T08:50:08Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",0
33493,565,G-undeterminable,Health indicators Gorgonians > G-undeterminable,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[1672.23,587.38]]",[0],33502,2025-03-07T08:50:12Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",0
33530,697,Octocorallia - Gorgonacea stet.,VME gorgonian corals > Octocorallia - Gorgonacea stet.,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[1595.89,472.2]]",[0],33539,2025-03-07T09:06:33Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",0
33531,697,Octocorallia - Gorgonacea stet.,VME gorgonian corals > Octocorallia - Gorgonacea stet.,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[1437.19,457.47]]",[0],33540,2025-03-07T09:06:53Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",0
33532,601,Munida stet.,Fauna > Crustacea stet. > Munida stet.,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[1573.79,440.06]]",[0],33541,2025-03-07T09:07:15Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",0
41637,748,unidentified fauna,Fauna > unidentified fauna,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[482.95,1066.08]]",[0],41646,2025-05-14T11:06:59Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",0
42251,748,unidentified fauna,Fauna > unidentified fauna,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[1705.71,633.82]]",[0],42260,2025-05-30T08:51:57Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",0
33526,601,Munida stet.,Fauna > Crustacea stet. > Munida stet.,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[436.07,648.99]]",[0.175398],33535,2025-03-07T09:01:40Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",0.175398
33496,601,Munida stet.,Fauna > Crustacea stet. > Munida stet.,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[1534.29,641.62]]",[0.430004],33505,2025-03-07T08:51:31Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",0.430004
41638,748,unidentified fauna,Fauna > unidentified fauna,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[876.7,1047.33]]",[0.67067],41647,2025-05-14T11:09:35Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",0.67067
33498,364,Fauna,Fauna,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[918.88,976.45]]",[0.872601],33507,2025-03-07T08:52:17Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",0.872601
33529,569,Actiniaria free stet.,VME anemones > Actiniaria free stet.,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[1350.13,614.17]]",[1.112931],33538,2025-03-07T09:05:52Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",1.112931
33502,482,Isidella stet.,VME gorgonian corals > Isidella stet.,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[196.34,603.45]]",[1.272893],33511,2025-03-07T08:53:46Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",1.272893
33503,469,mucus undeterminable,VME species mucus production > mucus undeterminable,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[195.67,634.93]]",[1.272893],33512,2025-03-07T08:53:49Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",1.272893
33504,468,polyps undeterminable,VME coral species polyp behaviour > polyps undeterminable,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[184.96,614.17]]",[1.272893],33513,2025-03-07T08:53:52Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",1.272893
33505,565,G-undeterminable,Health indicators Gorgonians > G-undeterminable,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[192.32,579.35]]",[1.272893],33514,2025-03-07T08:53:56Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",1.272893
33510,601,Munida stet.,Fauna > Crustacea stet. > Munida stet.,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[241.21,846.54]]",[1.272893],33519,2025-03-07T08:55:10Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",1.272893
33511,601,Munida stet.,Fauna > Crustacea stet. > Munida stet.,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[144.78,763.5]]",[1.272893],33520,2025-03-07T08:55:11Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",1.272893
33512,601,Munida stet.,Fauna > Crustacea stet. > Munida stet.,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[800.36,814.39]]",[1.272893],33521,2025-03-07T08:56:32Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",1.272893
42252,748,unidentified fauna,Fauna > unidentified fauna,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[69.78,781.14]]",[1.272893],42261,2025-05-30T08:52:09Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",1.272893
42253,748,unidentified fauna,Fauna > unidentified fauna,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[152.81,894.31]]",[1.272893],42262,2025-05-30T08:52:22Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",1.272893
42254,748,unidentified fauna,Fauna > unidentified fauna,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[163.53,689.4]]",[1.272893],42263,2025-05-30T08:52:36Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",1.272893
42255,748,unidentified fauna,Fauna > unidentified fauna,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[364.42,809.94]]",[1.272893],42264,2025-05-30T08:52:47Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",1.272893
42256,748,unidentified fauna,Fauna > unidentified fauna,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[453.48,828.02]]",[1.272893],42265,2025-05-30T08:52:53Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",1.272893
42258,748,unidentified fauna,Fauna > unidentified fauna,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[987.86,677.35]]",[1.272893],42267,2025-05-30T08:53:48Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",1.272893
33534,442,Mesothuria stet.,Fauna > Holothuroidea stet. > Mesothuria stet.,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[1129.82,665.73]]",[1.888114],33543,2025-03-07T09:08:10Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",1.888114
33513,482,Isidella stet.,VME gorgonian corals > Isidella stet.,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[955.71,821.76]]",[1.927524],33522,2025-03-07T08:56:45Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",1.927524
33514,469,mucus undeterminable,VME species mucus production > mucus undeterminable,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[945.67,857.25]]",[1.927524],33523,2025-03-07T08:56:48Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",1.927524
33515,468,polyps undeterminable,VME coral species polyp behaviour > polyps undeterminable,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[976.47,839.84]]",[1.927524],33524,2025-03-07T08:56:51Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",1.927524
33516,565,G-undeterminable,Health indicators Gorgonians > G-undeterminable,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[987.86,818.41]]",[1.927524],33525,2025-03-07T08:56:55Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",1.927524
33517,482,Isidella stet.,VME gorgonian corals > Isidella stet.,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[707.28,881.36]]",[1.927524],33526,2025-03-07T08:56:59Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",1.927524
33518,469,mucus undeterminable,VME species mucus production > mucus undeterminable,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[671.79,878.68]]",[1.927524],33527,2025-03-07T08:57:02Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",1.927524
33519,468,polyps undeterminable,VME coral species polyp behaviour > polyps undeterminable,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[657.05,855.91]]",[1.927524],33528,2025-03-07T08:57:04Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",1.927524
33520,565,G-undeterminable,Health indicators Gorgonians > G-undeterminable,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[680.49,859.26]]",[1.927524],33529,2025-03-07T08:57:09Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",1.927524
33521,482,Isidella stet.,VME gorgonian corals > Isidella stet.,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[364.42,646.31]]",[1.927524],33530,2025-03-07T08:58:34Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",1.927524
33522,469,mucus undeterminable,VME species mucus production > mucus undeterminable,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[369.11,667.07]]",[1.927524],33531,2025-03-07T08:58:37Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",1.927524
33523,468,polyps undeterminable,VME coral species polyp behaviour > polyps undeterminable,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[385.85,651]]",[1.927524],33532,2025-03-07T08:58:39Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",1.927524
33524,565,G-undeterminable,Health indicators Gorgonians > G-undeterminable,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[393.21,630.91]]",[1.927524],33533,2025-03-07T08:58:46Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",1.927524
42257,748,unidentified fauna,Fauna > unidentified fauna,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[325.58,586.28]]",[1.927524],42266,2025-05-30T08:53:21Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",1.927524
33533,601,Munida stet.,Fauna > Crustacea stet. > Munida stet.,1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[1601.92,744.08]]",[4.092995],33542,2025-03-07T09:07:29Z,"{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}",4.092995
