video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes,frame_new
30777,481,Primnoa stet.,VME gorgonian corals > Primnoa stet.,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[906.16,971.02]]",[530.277475],30786,2025-02-18T08:54:13Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",530.277475
30778,469,mucus undeterminable,VME species mucus production > mucus undeterminable,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[901.47,995.13]]",[530.277475],30787,2025-02-18T08:54:15Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",530.277475
30779,468,polyps undeterminable,VME coral species polyp behaviour > polyps undeterminable,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[932.28,989.77]]",[530.277475],30788,2025-02-18T08:54:18Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",530.277475
30780,565,G-undeterminable,Health indicators Gorgonians > G-undeterminable,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[926.92,961.65]]",[530.277475],30789,2025-02-18T08:54:22Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",530.277475
30781,697,Gorgonian spare,VME gorgonian corals > Gorgonian spare,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[354.38,892.67]]",[530.277475],30790,2025-02-18T09:01:03Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",530.277475
30782,697,Gorgonian spare,VME gorgonian corals > Gorgonian spare,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1020,956.96]]",[534.05336],30791,2025-02-18T09:01:27Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",534.05336
30783,697,Gorgonian spare,VME gorgonian corals > Gorgonian spare,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1423.13,948.25]]",[534.05336],30792,2025-02-18T09:01:28Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",534.05336
30784,484,Anthothela grandiflora,VME gorgonian corals > Anthothela grandiflora,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[782.28,953.61]]",[534.05336],30793,2025-02-18T09:01:38Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",534.05336
30785,469,mucus undeterminable,VME species mucus production > mucus undeterminable,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[759.51,936.87]]",[534.05336],30794,2025-02-18T09:01:41Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",534.05336
30786,468,polyps undeterminable,VME coral species polyp behaviour > polyps undeterminable,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[784.29,930.17]]",[534.05336],30795,2025-02-18T09:01:44Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",534.05336
30787,565,G-undeterminable,Health indicators Gorgonians > G-undeterminable,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[761.52,922.14]]",[534.05336],30796,2025-02-18T09:01:48Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",534.05336
30788,364,Fauna,Fauna,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1298.57,912.09]]",[534.05336],30797,2025-02-18T09:02:54Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",534.05336
30812,697,Gorgonian spare,VME gorgonian corals > Gorgonian spare,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[937.63,1022.58]]",[535.378726],30821,2025-02-18T09:10:17Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",535.378726
30804,481,Primnoa stet.,VME gorgonian corals > Primnoa stet.,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[312.86,677.72]]",[535.506883],30813,2025-02-18T09:07:30Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",535.506883
30805,468,polyps undeterminable,VME coral species polyp behaviour > polyps undeterminable,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[310.18,648.25]]",[535.506883],30814,2025-02-18T09:07:33Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",535.506883
30806,469,mucus undeterminable,VME species mucus production > mucus undeterminable,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[297.46,628.16]]",[535.506883],30815,2025-02-18T09:07:39Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",535.506883
30807,565,G-undeterminable,Health indicators Gorgonians > G-undeterminable,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[340.31,664.33]]",[535.506883],30816,2025-02-18T09:07:43Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",535.506883
