video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes
21786,322,"Laser points","Laser points",1,Birte,Schuppe,51,anevik_2_8.mp4,1,Point,"[[768.88,780.37]]",[0],21795,"2025-01-30 09:15:44","{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}"
21787,322,"Laser points","Laser points",1,Birte,Schuppe,51,anevik_2_8.mp4,1,Point,"[[794.33,759.62]]",[0],21796,"2025-01-30 09:15:47","{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}"
21788,319,Mud,"Substrate > Mud",1,Birte,Schuppe,51,anevik_2_8.mp4,7,WholeFrame,[],[0],21797,"2025-01-30 09:15:57","{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}"
21789,359,flat,"Slope category > flat",1,Birte,Schuppe,51,anevik_2_8.mp4,7,WholeFrame,[],[0],21798,"2025-01-30 09:16:12","{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}"
21790,322,"Laser points","Laser points",1,Birte,Schuppe,51,anevik_2_8.mp4,1,Point,"[[747.46,731.49]]",[10.342364],21799,"2025-01-30 09:17:46","{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}"
21791,322,"Laser points","Laser points",1,Birte,Schuppe,51,anevik_2_8.mp4,1,Point,"[[782.28,716.09]]",[10.342364],21800,"2025-01-30 09:17:47","{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}"
21792,723,"Gadidae stet.","Fauna > Pisces > Gadidae stet.",1,Birte,Schuppe,51,anevik_2_8.mp4,1,Point,"[[1433.17,1038.86]]",[11.547747],21801,"2025-01-30 09:18:37","{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}"
21793,723,"Gadidae stet.","Fauna > Pisces > Gadidae stet.",1,Birte,Schuppe,51,anevik_2_8.mp4,1,Point,"[[840.54,1060.96]]",[12.956368],21802,"2025-01-30 09:19:10","{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}"
21794,723,"Gadidae stet.","Fauna > Pisces > Gadidae stet.",1,Birte,Schuppe,51,anevik_2_8.mp4,1,Point,"[[1095,1032.83]]",[12.956368],21803,"2025-01-30 09:19:11","{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}"
21795,697,"Octocorallia - Gorgonacea stet.","VME gorgonian corals > Octocorallia - Gorgonacea stet.",1,Birte,Schuppe,51,anevik_2_8.mp4,1,Point,"[[1119.11,911.62]]",[12.956368],21804,"2025-01-30 09:19:23","{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}"
21796,482,"Isidella stet.","VME gorgonian corals > Isidella stet.",1,Birte,Schuppe,51,anevik_2_8.mp4,1,Point,"[[1062.86,987.29]]",[12.956368],21805,"2025-01-30 09:19:31","{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}"
21797,469,"mucus undeterminable","VME species mucus production > mucus undeterminable",1,Birte,Schuppe,51,anevik_2_8.mp4,1,Point,"[[1051.47,1000.02]]",[12.956368],21806,"2025-01-30 09:19:37","{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}"
21798,468,"polyps undeterminable","VME coral species polyp behaviour > polyps undeterminable",1,Birte,Schuppe,51,anevik_2_8.mp4,1,Point,"[[1050.13,1020.78]]",[12.956368],21807,"2025-01-30 09:19:42","{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}"
21799,565,G-undeterminable,"Health indicators Gorgonians > G-undeterminable",1,Birte,Schuppe,51,anevik_2_8.mp4,1,Point,"[[1025.36,1028.81]]",[12.956368],21808,"2025-01-30 09:19:52","{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}"
21803,482,"Isidella stet.","VME gorgonian corals > Isidella stet.",1,Birte,Schuppe,51,anevik_2_8.mp4,1,Point,"[[1145.89,1045.55]]",[19.642116],21812,"2025-01-30 09:21:04","{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}"
21804,469,"mucus undeterminable","VME species mucus production > mucus undeterminable",1,Birte,Schuppe,51,anevik_2_8.mp4,1,Point,"[[1163.97,1036.85]]",[19.642116],21813,"2025-01-30 09:21:07","{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}"
21805,468,"polyps undeterminable","VME coral species polyp behaviour > polyps undeterminable",1,Birte,Schuppe,51,anevik_2_8.mp4,1,Point,"[[1169.33,1054.93]]",[19.642116],21814,"2025-01-30 09:21:09","{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}"
21806,565,G-undeterminable,"Health indicators Gorgonians > G-undeterminable",1,Birte,Schuppe,51,anevik_2_8.mp4,1,Point,"[[1206.83,1038.86]]",[19.642116],21815,"2025-01-30 09:21:13","{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}"
21807,569,"Actiniaria free stet.","VME anemones > Actiniaria free stet.",1,Birte,Schuppe,51,anevik_2_8.mp4,1,Point,"[[1733.17,967.21]]",[19.642116],21816,"2025-01-30 09:21:24","{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}"
21808,705,"Bathyplotes stet.","Fauna > Holothuroidea stet. > Bathyplotes stet.",1,Birte,Schuppe,51,anevik_2_8.mp4,1,Point,"[[1516.21,1022.12]]",[19.642116],21817,"2025-01-30 09:21:42","{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}"
21815,322,"Laser points","Laser points",1,Birte,Schuppe,51,anevik_2_8.mp4,1,Point,"[[724.69,691.98]]",[20.660349],21824,"2025-01-30 09:30:20","{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}"
21816,322,"Laser points","Laser points",1,Birte,Schuppe,51,anevik_2_8.mp4,1,Point,"[[766.87,669.88]]",[20.660349],21825,"2025-01-30 09:30:22","{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}"
21817,359,flat,"Slope category > flat",1,Birte,Schuppe,51,anevik_2_8.mp4,7,WholeFrame,[],[30.735715],21826,"2025-01-30 09:30:44","{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}"
21818,319,Mud,"Substrate > Mud",1,Birte,Schuppe,51,anevik_2_8.mp4,7,WholeFrame,[],[30.735715],21827,"2025-01-30 09:30:48","{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}"
21819,322,"Laser points","Laser points",1,Birte,Schuppe,51,anevik_2_8.mp4,1,Point,"[[715.31,665.87]]",[30.735715],21828,"2025-01-30 09:30:53","{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}"
21820,322,"Laser points","Laser points",1,Birte,Schuppe,51,anevik_2_8.mp4,1,Point,"[[756.83,647.79]]",[30.735715],21829,"2025-01-30 09:30:55","{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}"
21821,482,"Isidella stet.","VME gorgonian corals > Isidella stet.",1,Birte,Schuppe,51,anevik_2_8.mp4,1,Point,"[[669.78,1046.22]]",[35.956611],21830,"2025-01-30 09:31:32","{""mimetype"":""video\/mp4"",""size"":4712901430,""width"":1920,""height"":1080}"
