datetime,videotime,lon,lat,depth,elapsed_seconds,LON2,LAT2,depth_interpolated,videotime_interpolated
2021-01-06T11:49:06Z,00:00:02,15.28460617,68.011404,624.9,0,15.28460617,68.011404,624.9,0
2021-01-06T11:49:07Z,NA,NA,NA,NA,NA,15.284596835,68.01140316499999,624.8499999999999,1
2021-01-06T11:49:08Z,00:00:04,15.2845875,68.01140233,624.8,2,15.2845875,68.01140233,624.8,2
2021-01-06T11:49:09Z,NA,NA,NA,NA,NA,15.284577585000001,68.01140291499999,624.8,3
2021-01-06T11:49:10Z,00:00:06,15.28456767,68.0114035,624.8,4,15.28456767,68.0114035,624.8,4
2021-01-06T11:49:11Z,NA,NA,NA,NA,NA,15.28455242,68.01140699999999,624.9,5
2021-01-06T11:49:12Z,00:00:07,15.28453717,68.0114105,625,6,15.28453717,68.0114105,625,6
2021-01-06T11:49:13Z,NA,NA,NA,NA,NA,15.28454117,68.011410165,625.05,7
2021-01-06T11:49:14Z,00:00:09,15.28454517,68.01140983,625.1,8,15.28454517,68.01140983,625.1,8
2021-01-06T11:49:15Z,NA,NA,NA,NA,NA,15.2845455,68.011408915,625.2,9
2021-01-06T11:49:16Z,00:00:11,15.28454583,68.011408,625.3,10,15.28454583,68.011408,625.3,10
2021-01-06T11:49:17Z,NA,NA,NA,NA,NA,15.284544499999999,68.01140641500001,625.3499999999999,11
2021-01-06T11:49:18Z,00:00:13,15.28454317,68.01140483,625.4,12,15.28454317,68.01140483,625.4,12
2021-01-06T11:49:19Z,NA,NA,NA,NA,NA,15.28454717,68.01140566500001,625.4,13
2021-01-06T11:49:20Z,00:00:15,15.28455117,68.0114065,625.4,14,15.28455117,68.0114065,625.4,14
2021-01-06T11:49:21Z,NA,NA,NA,NA,NA,15.284561335,68.01140483500001,625.4,15
2021-01-06T11:49:22Z,00:00:17,15.2845715,68.01140317,625.4,16,15.2845715,68.01140317,625.4,16
2021-01-06T11:49:23Z,NA,NA,NA,NA,NA,15.284583415,68.011403,625.3499999999999,17
2021-01-06T11:49:24Z,00:00:19,15.28459533,68.01140283,625.3,18,15.28459533,68.01140283,625.3,18
2021-01-06T11:49:25Z,NA,NA,NA,NA,NA,15.28459808,68.0114045,625.45,19
2021-01-06T11:49:26Z,00:00:20,15.28460083,68.01140617,625.6,20,15.28460083,68.01140617,625.6,20
2021-01-06T11:49:27Z,NA,NA,NA,NA,NA,15.284603165,68.011406,625.7,21
2021-01-06T11:49:28Z,00:00:22,15.2846055,68.01140583,625.8,22,15.2846055,68.01140583,625.8,22
2021-01-06T11:49:29Z,NA,NA,NA,NA,NA,15.28461025,68.011405915,625.8,23
2021-01-06T11:49:30Z,00:00:24,15.284615,68.011406,625.8,24,15.284615,68.011406,625.8,24
2021-01-06T11:49:31Z,NA,NA,NA,NA,NA,15.2846065,68.011416165,625.9,25
2021-01-06T11:49:32Z,00:00:28,15.284598,68.01142633,626,26,15.284598,68.01142633,626,26
2021-01-06T11:49:33Z,NA,NA,NA,NA,NA,15.284599165,68.011431415,626.05,27
2021-01-06T11:49:34Z,00:00:30,15.28460033,68.0114365,626.1,28,15.28460033,68.0114365,626.1,28
2021-01-06T11:49:35Z,NA,NA,NA,NA,NA,15.28460283,68.011441335,626.05,29
2021-01-06T11:49:36Z,00:00:32,15.28460533,68.01144617,626,30,15.28460533,68.01144617,626,30
2021-01-06T11:49:37Z,NA,NA,NA,NA,NA,15.284607165,68.01144817,625.9,31
2021-01-06T11:49:38Z,00:00:33,15.284609,68.01145017,625.8,32,15.284609,68.01145017,625.8,32
2021-01-06T11:49:39Z,NA,NA,NA,NA,NA,15.284604085,68.01145192,625.8499999999999,33
2021-01-06T11:49:40Z,00:00:35,15.28459917,68.01145367,625.9,34,15.28459917,68.01145367,625.9,34
2021-01-06T11:49:41Z,NA,NA,NA,NA,NA,15.284598169999999,68.01145542,625.9,35
2021-01-06T11:49:42Z,00:00:37,15.28459717,68.01145717,625.9,36,15.28459717,68.01145717,625.9,36
2021-01-06T11:49:43Z,NA,NA,NA,NA,NA,15.284598169999999,68.01145683499999,625.9,37
2021-01-06T11:49:44Z,00:00:39,15.28459917,68.0114565,625.9,38,15.28459917,68.0114565,625.9,38
2021-01-06T11:49:45Z,NA,NA,NA,NA,NA,15.284600335,68.01145608499999,625.8,39
2021-01-06T11:49:46Z,00:00:41,15.2846015,68.01145567,625.7,40,15.2846015,68.01145567,625.7,40
2021-01-06T11:49:47Z,NA,NA,NA,NA,NA,15.284603335,68.0114545,625.6,41
2021-01-06T11:49:48Z,00:00:43,15.28460517,68.01145333,625.5,42,15.28460517,68.01145333,625.5,42
2021-01-06T11:49:49Z,NA,NA,NA,NA,NA,15.284606585,68.011450665,625.45,43
2021-01-06T11:49:50Z,00:00:44,15.284608,68.011448,625.4,44,15.284608,68.011448,625.4,44
2021-01-06T11:49:51Z,NA,NA,NA,NA,NA,15.2846095,68.01144741499999,625.45,45
2021-01-06T11:49:52Z,00:00:46,15.284611,68.01144683,625.5,46,15.284611,68.01144683,625.5,46
2021-01-06T11:49:53Z,NA,NA,NA,NA,NA,15.284606835,68.01144608,625.45,47
2021-01-06T11:49:54Z,00:00:48,15.28460267,68.01144533,625.4,48,15.28460267,68.01144533,625.4,48
2021-01-06T11:49:55Z,NA,NA,NA,NA,NA,15.28460217,68.011444665,625.25,49
2021-01-06T11:49:56Z,00:00:50,15.28460167,68.011444,625.1,50,15.28460167,68.011444,625.1,50
2021-01-06T11:49:57Z,NA,NA,NA,NA,NA,15.284611170000002,68.011443415,625.2,51
2021-01-06T11:49:58Z,00:00:54,15.28462067,68.01144283,625.3,52,15.28462067,68.01144283,625.3,52
2021-01-06T11:49:59Z,NA,NA,NA,NA,NA,15.28461917,68.011444415,625.3499999999999,53
2021-01-06T11:50:00Z,00:00:56,15.28461767,68.011446,625.4,54,15.28461767,68.011446,625.4,54
2021-01-06T11:50:01Z,NA,NA,NA,NA,NA,15.284611335000001,68.011446085,625.3,55
2021-01-06T11:50:02Z,00:00:57,15.284605000000001,68.01144617,625.2,56,15.284605000000001,68.01144617,625.2,56
