id,datetime,depth,heading,lon,lat,videotime
83,07/01/2021 09:33:51,317.2,207,5.2711425,8.00144783,00:02:47
84,07/01/2021 09:33:53,317.4,197,5.27114333,8.00144617,00:02:49
85,07/01/2021 09:33:55,317.2,192,5.27114133,8.001445,00:02:50
86,07/01/2021 09:33:57,316.8,188,5.27113633,8.00144433,00:02:52
87,07/01/2021 09:33:59,316.7,183,5.27114233,8.001446,00:02:56
88,07/01/2021 09:34:01,316.6,190,5.2711425,8.00144667,00:02:58
89,07/01/2021 09:34:03,316.9,184,5.2711355,8.00144617,NA
90,07/01/2021 09:34:05,317.1,187,5.27113983,8.0014445,00:03:02
91,07/01/2021 09:34:07,317.2,191,5.27113967,8.00144133,00:03:03
92,07/01/2021 09:34:09,317.3,194,5.271137,8.001437,00:03:05
93,07/01/2021 09:34:11,317.5,193,5.2711355,8.0014325,00:03:07
94,07/01/2021 09:34:13,317.5,195,5.27113183,8.00143033,00:03:09
95,07/01/2021 09:34:15,317.6,193,5.27113517,8.00142483,00:03:11
96,07/01/2021 09:34:17,317.7,194,5.27113083,8.00142467,00:03:13
97,07/01/2021 09:34:19,317.7,197,5.271134,8.00142183,00:03:15
98,07/01/2021 09:34:21,317.6,197,5.2711455,8.00141617,00:03:16
99,07/01/2021 09:34:23,317.7,198,5.2711455,8.00141617,00:03:16
100,07/01/2021 09:34:25,317.7,194,5.27115783,8.00141283,00:03:21
101,07/01/2021 09:34:27,317.6,197,5.27116367,8.001415,00:03:23
102,07/01/2021 09:34:29,317.6,195,5.27116267,8.00141783,00:03:25
103,07/01/2021 09:34:31,317.4,191,5.27115867,8.00141917,00:03:27
104,07/01/2021 09:34:33,317.2,186,5.27114933,8.0014185,00:03:29
105,07/01/2021 09:34:35,317.1,179,5.27113517,8.00141717,00:03:31
106,07/01/2021 09:34:37,316.9,176,5.27112917,8.00141033,00:03:32
107,07/01/2021 09:34:39,316.7,178,5.27111917,8.00141117,00:03:34
108,07/01/2021 09:34:41,316.5,179,5.27112883,8.00141183,00:03:38
109,07/01/2021 09:34:43,316.3,179,5.27112683,8.001412,00:03:40
110,07/01/2021 09:34:45,316.1,178,5.2711335,8.00141217,00:03:42
111,07/01/2021 09:34:47,315.9,176,5.27113683,8.0014155,00:03:44
112,07/01/2021 09:34:49,315.6,178,5.27114917,8.00141517,00:03:45
113,07/01/2021 09:34:51,315.5,178,5.27116083,8.00141467,00:03:47
114,07/01/2021 09:34:53,315.2,180,5.27116167,8.00141533,00:03:49
115,07/01/2021 09:34:55,315.2,182,5.271157,8.00141383,00:03:51
116,07/01/2021 09:34:57,315,185,5.27116483,8.00141317,00:03:53
117,07/01/2021 09:34:59,314.7,188,5.27117717,8.00141383,00:03:55
118,07/01/2021 09:35:01,314.2,190,5.27118017,8.0014165,00:03:57
119,07/01/2021 09:35:03,314,191,5.27117767,8.00141767,00:03:58
120,07/01/2021 09:35:05,313.9,190,5.27117633,8.001421,00:04:02
121,07/01/2021 09:35:07,313.9,186,5.27117017,8.00142033,00:04:04
122,07/01/2021 09:35:09,313.7,185,5.2711755,8.00141933,00:04:06
123,07/01/2021 09:35:11,313.4,185,5.271171,8.00142017,00:04:08
124,07/01/2021 09:35:13,313.2,184,5.271173,8.00141967,00:04:09
125,07/01/2021 09:35:15,313.1,185,5.27117183,8.00141917,00:04:11
126,07/01/2021 09:35:17,312.9,185,5.27117367,8.00141883,00:04:13
127,07/01/2021 09:35:19,312.7,182,5.27117617,8.00141917,00:04:15
128,07/01/2021 09:35:21,312.7,187,5.27118217,8.001422,00:04:17
129,07/01/2021 09:35:23,312.6,189,5.271191,8.00142283,00:04:19
130,07/01/2021 09:35:25,312.4,190,5.27119833,8.0014225,00:04:21
131,07/01/2021 09:35:27,312.3,191,5.271203,8.0014215,00:04:22
132,07/01/2021 09:35:29,312.3,192,5.27121483,8.00141767,00:04:24
133,07/01/2021 09:35:31,312.1,192,5.27123117,8.001411,00:04:28
134,07/01/2021 09:35:33,311.9,192,5.271233,8.00140867,00:04:30
135,07/01/2021 09:35:35,311.7,187,5.27123133,8.00140633,00:04:32
136,07/01/2021 09:35:37,311.6,185,5.27122883,8.0014035,00:04:34
137,07/01/2021 09:35:39,311.6,187,5.27123317,8.00140133,00:04:35
138,07/01/2021 09:35:41,311.3,188,5.271233,8.00139867,00:04:37
139,07/01/2021 09:35:43,311.2,188,5.27123383,8.00139717,00:04:39
140,07/01/2021 09:35:45,311,185,5.27123833,8.001397,00:04:41
141,07/01/2021 09:35:47,310.7,183,5.27123717,8.00139817,00:04:43
142,07/01/2021 09:35:49,310.4,179,5.27124567,8.0013975,00:04:45
143,07/01/2021 09:35:51,310.4,179,5.27124483,8.00139783,00:04:47
144,07/01/2021 09:35:53,310.1,178,5.27125,8.00139767,00:04:48
145,07/01/2021 09:35:55,310.1,171,5.27125183,8.00139817,00:04:50
146,07/01/2021 09:35:57,309.9,166,5.27125367,8.00139783,00:04:54
147,07/01/2021 09:35:59,309.6,160,5.27125517,8.0013965,00:04:56
148,07/01/2021 09:36:01,309.4,160,5.27126017,8.00139733,00:04:58
149,07/01/2021 09:36:03,309.4,159,5.27126217,8.00139933,NA
150,07/01/2021 09:36:05,309.3,160,5.27126333,8.00140067,00:05:01
151,07/01/2021 09:36:07,309.1,159,5.2712625,8.001404,00:05:03
152,07/01/2021 09:36:09,308.9,155,5.271259,8.0014065,00:05:05
153,07/01/2021 09:36:11,308.7,161,5.2712595,8.00140917,00:05:07
154,07/01/2021 09:36:13,308.5,162,5.27126217,8.00141167,00:05:09
155,07/01/2021 09:36:15,308.7,169,5.271262,8.00141383,00:05:11
156,07/01/2021 09:36:17,308.6,167,5.27126683,8.00141633,00:05:13
157,07/01/2021 09:36:19,308.7,171,5.27126733,8.00141867,00:05:14
158,07/01/2021 09:36:21,308.8,171,5.27128833,8.00141867,00:05:18
159,07/01/2021 09:36:23,308.7,174,5.27129317,8.00142033,00:05:20
160,07/01/2021 09:36:25,308.8,180,5.2712995,8.00141917,00:05:22
161,07/01/2021 09:36:27,308.9,182,5.271302,8.00141783,00:05:24
162,07/01/2021 09:36:29,309,182,5.27131067,8.00141367,00:05:26
163,07/01/2021 09:36:31,309.2,180,5.27131983,8.00140933,00:05:27
164,07/01/2021 09:36:33,309.2,180,5.27132283,8.00140617,00:05:29
165,07/01/2021 09:36:35,309.1,181,5.27132467,8.00140167,00:05:31
166,07/01/2021 09:36:37,309.1,180,5.27131867,8.00139967,00:05:33
167,07/01/2021 09:36:39,309.2,178,5.27131767,8.00139883,00:05:35
168,07/01/2021 09:36:41,309.3,179,5.271319,8.001398,00:05:37
169,07/01/2021 09:36:43,309.3,180,5.27131333,8.0013985,00:05:38
170,07/01/2021 09:36:45,309.3,181,5.271309,8.00140017,00:05:40
171,07/01/2021 09:36:47,308.9,182,5.27129333,8.0014045,00:05:44
172,07/01/2021 09:36:49,308.5,180,5.27128617,8.00140733,00:05:46
173,07/01/2021 09:36:51,308.2,177,5.27127217,8.00141083,00:05:48
174,07/01/2021 09:36:53,307.8,180,5.27126867,8.00141333,00:05:50
175,07/01/2021 09:36:55,307.7,178,5.27126767,8.00141233,00:05:51
176,07/01/2021 09:36:57,307.3,179,5.27126267,8.00141117,00:05:53
177,07/01/2021 09:36:59,307.1,180,5.27126,8.0014095,00:05:55
178,07/01/2021 09:37:01,306.9,181,5.27125917,8.0014075,00:05:57
179,07/01/2021 09:37:03,306.5,183,5.27125633,8.00140683,00:05:59
180,07/01/2021 09:37:05,306.2,180,5.271265,8.00140583,00:06:01
181,07/01/2021 09:37:07,306.2,178,5.27126733,8.00140633,00:06:03
182,07/01/2021 09:37:09,305.9,178,5.27126883,8.00140617,00:06:04
183,07/01/2021 09:37:11,305.6,184,5.27127567,8.00140483,00:06:06
184,07/01/2021 09:37:13,305.2,186,5.2712815,8.00140567,00:06:10
185,07/01/2021 09:37:15,304.9,184,5.2712825,8.001406,00:06:12
186,07/01/2021 09:37:17,304.6,181,5.2712815,8.00140667,00:06:14
187,07/01/2021 09:37:19,304.3,179,5.27128,8.0014065,00:06:16
188,07/01/2021 09:37:21,304.2,182,5.271283,8.00140817,00:06:17
189,07/01/2021 09:37:23,304,182,5.271283,8.00140833,00:06:19
190,07/01/2021 09:37:25,303.7,183,5.27128883,8.00141083,00:06:21
191,07/01/2021 09:37:27,303.5,181,5.27128417,8.001412,00:06:23
192,07/01/2021 09:37:29,303.3,181,5.271285,8.001413,00:06:25
193,07/01/2021 09:37:31,303,181,5.2712925,8.00141283,00:06:27
194,07/01/2021 09:37:33,302.8,179,5.271295,8.00141017,00:06:29
195,07/01/2021 09:37:35,302.6,178,5.27129617,8.00140817,00:06:30
196,07/01/2021 09:37:37,302.4,178,5.271292,8.0014085,00:06:32
197,07/01/2021 09:37:39,302.2,177,5.27130167,8.0014095,00:06:36
198,07/01/2021 09:37:41,302.1,176,5.2713105,8.0014105,00:06:38
199,07/01/2021 09:37:43,302,178,5.27131533,8.00141233,00:06:40
200,07/01/2021 09:37:45,301.7,179,5.27131233,8.00141333,00:06:42
201,07/01/2021 09:37:47,301.5,180,5.27131033,8.00141383,00:06:43
202,07/01/2021 09:37:49,301.4,175,5.27130967,8.00141167,00:06:45
203,07/01/2021 09:37:51,301.3,180,5.27130567,8.00141217,00:06:47
204,07/01/2021 09:37:53,301.1,177,5.27130283,8.00141483,00:06:49
205,07/01/2021 09:37:55,301,175,5.27130567,8.00141417,00:06:51
206,07/01/2021 09:37:57,300.9,175,5.271303,8.0014145,00:06:53
207,07/01/2021 09:37:59,300.7,173,5.2712935,8.00141817,00:06:54
208,07/01/2021 09:38:01,300.6,174,5.27128383,8.0014215,00:06:56
209,07/01/2021 09:38:03,300.4,177,5.27126583,8.001419,00:07:00
210,07/01/2021 09:38:05,300.3,177,5.27126083,8.0014185,00:07:02
211,07/01/2021 09:38:07,300.1,175,5.27125167,8.00141917,00:07:04
212,07/01/2021 09:38:09,300.1,180,5.27123517,8.00141933,00:07:06
213,07/01/2021 09:38:11,299.9,178,5.27123267,8.00141817,00:07:07
214,07/01/2021 09:38:13,299.7,178,5.27123233,8.00141833,00:07:09
215,07/01/2021 09:38:15,299.7,176,5.271232,8.001418,00:07:11
216,07/01/2021 09:38:17,299.4,175,5.2712275,8.00141833,00:07:13
217,07/01/2021 09:38:19,299.4,177,5.27122883,8.0014185,00:07:15
218,07/01/2021 09:38:21,299.3,173,5.27123367,8.0014175,00:07:17
219,07/01/2021 09:38:23,299.3,176,5.271238,8.00141683,00:07:19
220,07/01/2021 09:38:25,299.4,176,5.27124633,8.00141667,00:07:20
221,07/01/2021 09:38:27,299.3,172,5.27124783,8.0014185,00:07:22
222,07/01/2021 09:38:29,299.1,167,5.2712505,8.00141733,00:07:26
223,07/01/2021 09:38:31,298.9,170,5.27125217,8.00141433,00:07:28
224,07/01/2021 09:38:33,298.7,174,5.27125833,8.00141033,00:07:30
225,07/01/2021 09:38:35,298.3,177,5.271271,8.0014075,00:07:32
226,07/01/2021 09:38:37,298,176,5.27127583,8.00141,00:07:33
227,07/01/2021 09:38:39,297.8,180,5.27127733,8.00140883,00:07:35
228,07/01/2021 09:38:41,297.6,184,5.27128217,8.00141233,00:07:37
229,07/01/2021 09:38:43,297.4,186,5.2712865,8.00141283,00:07:39
230,07/01/2021 09:38:45,297.1,185,5.271296,8.00141567,00:07:41
231,07/01/2021 09:38:47,296.8,189,5.271307,8.00141883,00:07:43
232,07/01/2021 09:38:49,296.5,191,5.2713165,8.00142083,00:07:45
233,07/01/2021 09:38:51,296.3,190,5.271315,8.00142267,00:07:46
234,07/01/2021 09:38:53,296.2,186,5.27131617,8.001425,00:07:48
235,07/01/2021 09:38:55,296,189,5.27132083,8.001422,00:07:52
236,07/01/2021 09:38:57,295.9,190,5.27133183,8.001419,00:07:54
237,07/01/2021 09:38:59,295.9,188,5.271333,8.00141983,00:07:56
238,07/01/2021 09:39:01,295.7,186,5.27133267,8.00142317,00:07:58
239,07/01/2021 09:39:03,295.2,184,5.27133183,8.00142167,00:07:59
240,07/01/2021 09:39:05,295.2,185,5.27132417,8.00142417,00:08:01
241,07/01/2021 09:39:07,295,185,5.271322,8.00142867,00:08:03
242,07/01/2021 09:39:09,294.9,187,5.27132633,8.00142767,00:08:05
243,07/01/2021 09:39:11,294.5,187,5.27131883,8.001431,00:08:07
244,07/01/2021 09:39:13,294.3,187,5.2713135,8.00143133,00:08:09
245,07/01/2021 09:39:15,294,189,5.27131433,8.00143233,00:08:11
246,07/01/2021 09:39:17,293.9,189,5.27131467,8.0014315,00:08:12
247,07/01/2021 09:39:19,293.6,187,5.27131417,8.001432,00:08:16
248,07/01/2021 09:39:21,293.3,187,5.27130933,8.00143017,00:08:18
249,07/01/2021 09:39:23,293.1,186,5.2713075,8.00143267,00:08:20
250,07/01/2021 09:39:25,292.9,183,5.27129983,8.00143217,00:08:22
251,07/01/2021 09:39:27,292.4,181,5.271292,8.00143517,00:08:23
252,07/01/2021 09:39:29,292,180,5.27129867,8.00143467,00:08:25
253,07/01/2021 09:39:31,291.7,187,5.27130367,8.00143867,00:08:27
254,07/01/2021 09:39:33,291.6,186,5.27131117,8.0014415,00:08:29
255,07/01/2021 09:39:35,291.6,185,5.2713195,8.0014395,00:08:31
256,07/01/2021 09:39:37,291.4,184,5.271324,8.00143717,00:08:33
257,07/01/2021 09:39:39,291.3,188,5.27133767,8.00143333,00:08:35
258,07/01/2021 09:39:41,291,182,5.27134783,8.001436,00:08:36
259,07/01/2021 09:39:43,290.9,186,5.2713595,8.0014365,00:08:38
260,07/01/2021 09:39:45,290.5,187,5.27137883,8.00143683,00:08:42
261,07/01/2021 09:39:47,290.4,188,5.27138817,8.00143267,00:08:44
262,07/01/2021 09:39:49,290,189,5.27139567,8.001427,00:08:46
263,07/01/2021 09:39:51,290,187,5.271401,8.00142667,00:08:48
264,07/01/2021 09:39:53,289.9,189,5.27139867,8.00142567,00:08:49
265,07/01/2021 09:39:55,289.7,191,5.27140467,8.00142217,00:08:51
266,07/01/2021 09:39:57,289.4,191,5.271413,8.0014245,00:08:53
267,07/01/2021 09:39:59,289.3,190,5.27141617,8.00142217,00:08:55
268,07/01/2021 09:40:01,289.2,190,5.27142617,8.00142267,00:08:57
269,07/01/2021 09:40:03,289.1,190,5.27143433,8.00141767,00:08:59
270,07/01/2021 09:40:05,288.7,192,5.271434,8.00141433,00:09:01
271,07/01/2021 09:40:07,288.7,196,5.27143283,8.00141167,00:09:02
272,07/01/2021 09:40:09,288.6,195,5.271427,8.001411,00:09:04
273,07/01/2021 09:40:11,288.4,194,5.27142717,8.0014075,00:09:08
274,07/01/2021 09:40:13,288.3,197,5.2714265,8.00140667,00:09:10
275,07/01/2021 09:40:15,288.1,200,5.27142067,8.00140683,00:09:12
276,07/01/2021 09:40:17,287.9,202,5.2714165,8.00140417,00:09:14
277,07/01/2021 09:40:19,287.8,202,5.27141317,8.00140483,00:09:15
278,07/01/2021 09:40:21,287.5,206,5.27141,8.0014075,00:09:17
279,07/01/2021 09:40:23,287.4,205,5.27141367,8.00140517,00:09:19
280,07/01/2021 09:40:25,287.2,206,5.27142033,8.001403,00:09:21
281,07/01/2021 09:40:27,287.1,207,5.27141917,8.001404,00:09:23
282,07/01/2021 09:40:29,287.2,208,5.27141917,8.001404,00:09:23
283,07/01/2021 09:40:31,287.2,207,5.27141583,8.00139967,00:09:27
284,07/01/2021 09:40:33,287,206,5.27140183,8.00138433,00:09:30
285,07/01/2021 09:40:35,286.8,203,5.2713905,8.00138167,00:09:32
286,07/01/2021 09:40:37,286.6,201,5.27138717,8.001383,00:09:34
287,07/01/2021 09:40:39,286.3,197,5.271379,8.00138583,00:09:36
288,07/01/2021 09:40:41,286.3,192,5.27137683,8.0013885,00:09:37
289,07/01/2021 09:40:43,286.3,193,5.27137167,8.00138883,00:09:39
290,07/01/2021 09:40:45,286.1,191,5.27136617,8.001392,00:09:41
291,07/01/2021 09:40:47,285.9,192,5.27136883,8.001393,00:09:43
292,07/01/2021 09:40:49,285.7,193,5.27137183,8.00139517,00:09:45
293,07/01/2021 09:40:51,285.6,195,5.27137683,8.00139417,00:09:47
294,07/01/2021 09:40:53,285.6,199,5.27137733,8.00139433,00:09:49
295,07/01/2021 09:40:55,285.5,199,5.27138017,8.00139383,00:09:50
296,07/01/2021 09:40:57,285.4,199,5.27138983,8.00139383,00:09:54
297,07/01/2021 09:40:59,285.3,198,5.27138917,8.0013915,00:09:56
