...1,Sperre_LOG_DATETIME,Sperre_Depth,Sperre_Heading,Survey_ROV_LON,Survey_ROV_LAT,Survey_LOG_RELTIME,synchronized_time_in_video
1016,2021-01-07T10:04:57Z,191.7,231,5.27143467,8.00105833,00:33:54,00:33:50
1017,2021-01-07T10:04:59Z,191.5,229,5.27143117,8.00106033,00:33:56,00:33:52
1018,2021-01-07T10:05:01Z,191.6,226,5.27142567,8.00106217,00:33:58,00:33:54
1019,2021-01-07T10:05:03Z,191.5,224,5.27141683,8.00106583,NA,NA
1020,2021-01-07T10:05:05Z,191.1,227,5.27141667,8.001067,00:34:01,00:33:57
1021,2021-01-07T10:05:07Z,190.8,229,5.27141483,8.00106933,00:34:03,00:33:59
1022,2021-01-07T10:05:09Z,190.6,233,5.27140483,8.00106933,00:34:05,00:34:01
1023,2021-01-07T10:05:11Z,190.5,235,5.27139833,8.00106817,00:34:07,00:34:03
1024,2021-01-07T10:05:13Z,190.5,237,5.271395,8.00106717,00:34:09,00:34:05
1025,2021-01-07T10:05:15Z,190.3,237,5.27138733,8.00106617,00:34:11,00:34:07
1026,2021-01-07T10:05:17Z,190.2,237,5.2713885,8.001065,00:34:13,00:34:09
1027,2021-01-07T10:05:19Z,190.1,236,5.27138817,8.00106383,00:34:14,00:34:10
1028,2021-01-07T10:05:21Z,189.9,236,5.27137433,8.00106117,00:34:18,00:34:14
1029,2021-01-07T10:05:23Z,189.7,237,5.271362,8.00105933,00:34:20,00:34:16
1030,2021-01-07T10:05:25Z,189.4,234,5.27134967,8.00105817,00:34:22,00:34:18
1031,2021-01-07T10:05:27Z,188.9,231,5.27134217,8.00105417,00:34:24,00:34:20
1032,2021-01-07T10:05:29Z,188.6,226,5.2713265,8.001052,00:34:26,00:34:22
1033,2021-01-07T10:05:31Z,188.5,224,5.27132067,8.0010505,00:34:27,00:34:23
1034,2021-01-07T10:05:33Z,188.5,221,5.27130917,8.00104933,00:34:29,00:34:25
1035,2021-01-07T10:05:35Z,188.5,223,5.27130817,8.0010485,00:34:31,00:34:27
1036,2021-01-07T10:05:37Z,188.3,222,5.27130483,8.001047,00:34:33,00:34:29
1037,2021-01-07T10:05:39Z,188.1,218,5.27130333,8.00104783,00:34:35,00:34:31
1038,2021-01-07T10:05:41Z,187.9,218,5.271309,8.00104917,00:34:37,00:34:33
1039,2021-01-07T10:05:43Z,187.6,216,5.27132183,8.00104933,00:34:39,00:34:35
1040,2021-01-07T10:05:45Z,187.3,215,5.27131217,8.00105,00:34:40,00:34:36
1041,2021-01-07T10:05:47Z,187.2,211,5.27130533,8.001052,00:34:44,00:34:40
1042,2021-01-07T10:05:49Z,187,204,5.27130533,8.00105133,00:34:46,00:34:42
1043,2021-01-07T10:05:51Z,186.9,197,5.27130333,8.00105333,00:34:48,00:34:44
1044,2021-01-07T10:05:53Z,186.7,200,5.27129733,8.001058,00:34:50,00:34:46
1045,2021-01-07T10:05:55Z,186.9,193,5.27129917,8.001062,00:34:51,00:34:47
1046,2021-01-07T10:05:57Z,187,182,5.27129083,8.00106183,00:34:53,00:34:49
1047,2021-01-07T10:05:59Z,186.7,179,5.27128067,8.00106367,00:34:55,00:34:51
1048,2021-01-07T10:06:01Z,186.5,179,5.2712765,8.0010645,00:34:57,00:34:53
1049,2021-01-07T10:06:03Z,186.2,180,5.27126,8.001066,00:34:59,00:34:55
1050,2021-01-07T10:06:05Z,186,178,5.2712405,8.001067,00:35:01,00:34:57
1051,2021-01-07T10:06:07Z,185.7,177,5.27123667,8.001066,00:35:03,00:34:59
1052,2021-01-07T10:06:09Z,185.5,178,5.27123767,8.00106683,00:35:04,00:35:00
1053,2021-01-07T10:06:11Z,185.2,173,5.27124,8.00107033,00:35:08,00:35:04
1054,2021-01-07T10:06:13Z,185.1,179,5.27125267,8.0010715,00:35:10,00:35:06
1055,2021-01-07T10:06:15Z,185.2,185,5.2712565,8.00107283,00:35:12,00:35:08
1056,2021-01-07T10:06:17Z,185.2,184,5.27126017,8.001073,00:35:14,00:35:10
1057,2021-01-07T10:06:19Z,185.2,181,5.27126383,8.0010725,00:35:16,00:35:12
1058,2021-01-07T10:06:21Z,185.1,182,5.27125167,8.00107283,00:35:17,00:35:13
1059,2021-01-07T10:06:23Z,184.8,183,5.27125033,8.00107417,00:35:19,00:35:15
1060,2021-01-07T10:06:25Z,184.7,185,5.27125083,8.001077,00:35:21,00:35:17
1061,2021-01-07T10:06:27Z,184.5,189,5.27124717,8.0010775,00:35:23,00:35:19
1062,2021-01-07T10:06:29Z,184.5,191,5.27124867,8.0010785,00:35:25,00:35:21
1063,2021-01-07T10:06:31Z,184.3,188,5.27124633,8.00107983,00:35:27,00:35:23
1064,2021-01-07T10:06:33Z,184.1,181,5.27124,8.0010795,00:35:29,00:35:25
1065,2021-01-07T10:06:35Z,183.7,179,5.27122867,8.00107783,00:35:30,00:35:26
1066,2021-01-07T10:06:37Z,183.5,175,5.2712195,8.001077,00:35:34,00:35:30
1067,2021-01-07T10:06:39Z,183.4,177,5.27121783,8.0010775,00:35:36,00:35:32
1068,2021-01-07T10:06:41Z,183,176,5.2712075,8.00107733,00:35:38,00:35:34
1069,2021-01-07T10:06:43Z,182.5,173,5.271195,8.0010755,00:35:40,00:35:36
1070,2021-01-07T10:06:45Z,182.1,171,5.2711895,8.001077,00:35:41,00:35:37
1071,2021-01-07T10:06:47Z,181.8,169,5.27117283,8.0010755,00:35:43,00:35:39
1072,2021-01-07T10:06:49Z,181.7,175,5.27116767,8.00107717,00:35:45,00:35:41
1073,2021-01-07T10:06:51Z,181.7,168,5.27115783,8.001078,00:35:47,00:35:43
1074,2021-01-07T10:06:53Z,181.6,178,5.27114967,8.00107983,00:35:49,00:35:45
1075,2021-01-07T10:06:55Z,181.5,181,5.27114333,8.00107667,00:35:51,00:35:47
1076,2021-01-07T10:06:57Z,181.4,184,5.27114783,8.00107583,00:35:53,00:35:49
1077,2021-01-07T10:06:59Z,181.2,190,5.27115017,8.00107433,00:35:54,00:35:50
1078,2021-01-07T10:07:01Z,181,194,5.27115517,8.0010715,00:35:58,00:35:54
1079,2021-01-07T10:07:03Z,180.9,192,5.27115167,8.00107167,00:36:00,00:35:56
1080,2021-01-07T10:07:05Z,180.6,198,5.27115533,8.001072,00:36:02,00:35:58
1081,2021-01-07T10:07:07Z,180.4,204,5.27116533,8.00107267,00:36:04,00:36:00
1082,2021-01-07T10:07:09Z,180.3,200,5.27116933,8.00107617,00:36:06,00:36:02
1083,2021-01-07T10:07:11Z,180.3,199,5.27116183,8.00107867,00:36:07,00:36:03
1084,2021-01-07T10:07:13Z,180.3,194,5.27116767,8.00107767,00:36:09,00:36:05
1085,2021-01-07T10:07:15Z,180.2,204,5.27117317,8.00107967,00:36:11,00:36:07
1086,2021-01-07T10:07:17Z,179.9,211,5.27117617,8.0010805,00:36:13,00:36:09
1087,2021-01-07T10:07:19Z,179.6,211,5.27119133,8.0010825,00:36:15,00:36:11
1088,2021-01-07T10:07:21Z,179.4,215,5.2711975,8.001082,00:36:17,00:36:13
1089,2021-01-07T10:07:23Z,179.3,216,5.2711945,8.00108233,00:36:19,00:36:15
1090,2021-01-07T10:07:25Z,179.1,218,5.27118833,8.00108283,00:36:20,00:36:16
1091,2021-01-07T10:07:27Z,179,221,5.27117533,8.00108233,00:36:24,00:36:20
1092,2021-01-07T10:07:29Z,178.8,224,5.27117133,8.0010815,00:36:26,00:36:22
1093,2021-01-07T10:07:31Z,178.6,228,5.27117317,8.00108217,00:36:28,00:36:24
1094,2021-01-07T10:07:33Z,178.6,213,5.27116883,8.00108267,00:36:30,00:36:26
1095,2021-01-07T10:07:35Z,178.6,216,5.2711665,8.00108583,00:36:32,00:36:28
1096,2021-01-07T10:07:37Z,178.6,216,5.271168,8.00108683,00:36:33,00:36:29
1097,2021-01-07T10:07:39Z,178.2,220,5.27116683,8.00108833,00:36:35,00:36:31
1098,2021-01-07T10:07:41Z,177.8,219,5.2711695,8.00108717,00:36:37,00:36:33
1099,2021-01-07T10:07:43Z,177.5,215,5.27117233,8.00108683,00:36:39,00:36:35
1100,2021-01-07T10:07:45Z,177.1,205,5.2711785,8.001086,00:36:41,00:36:37
1101,2021-01-07T10:07:47Z,176.7,200,5.27118633,8.00108433,00:36:43,00:36:39
1102,2021-01-07T10:07:49Z,176.3,193,5.27119333,8.00108483,00:36:45,00:36:41
1103,2021-01-07T10:07:51Z,176,191,5.27118767,8.001084,00:36:46,00:36:42
1104,2021-01-07T10:07:53Z,175.6,189,5.2711955,8.001084,00:36:50,00:36:46
1105,2021-01-07T10:07:55Z,175.3,188,5.27119967,8.00108367,00:36:52,00:36:48
1106,2021-01-07T10:07:57Z,175.1,185,5.27119567,8.00108433,00:36:54,00:36:50
1107,2021-01-07T10:07:59Z,175,187,5.2711995,8.0010825,00:36:56,00:36:52
1108,2021-01-07T10:08:01Z,174.8,189,5.27120183,8.00107833,00:36:57,00:36:53
1109,2021-01-07T10:08:03Z,174.8,189,5.27120733,8.00107533,00:36:59,00:36:55
1110,2021-01-07T10:08:05Z,174.8,192,5.2712165,8.00107217,00:37:01,00:36:57
1111,2021-01-07T10:08:07Z,174.8,192,5.27122533,8.001069,00:37:03,00:36:59
1112,2021-01-07T10:08:09Z,174.6,191,5.27122933,8.00106733,00:37:05,00:37:01
1113,2021-01-07T10:08:11Z,174.4,192,5.27124,8.0010645,00:37:07,00:37:03
1114,2021-01-07T10:08:13Z,174.4,192,5.2712465,8.00106367,00:37:09,00:37:05
1115,2021-01-07T10:08:15Z,174.6,186,5.27125867,8.0010645,00:37:10,00:37:06
1116,2021-01-07T10:08:17Z,174.7,193,5.27127783,8.00105967,00:37:14,00:37:10
1117,2021-01-07T10:08:19Z,174.4,191,5.27128567,8.00105783,00:37:16,00:37:12
1118,2021-01-07T10:08:21Z,174.1,191,5.2712985,8.00105633,00:37:18,00:37:14
1119,2021-01-07T10:08:23Z,173.8,191,5.27130333,8.0010565,00:37:20,00:37:16
1120,2021-01-07T10:08:25Z,173.2,191,5.27130417,8.00105733,00:37:22,00:37:18
1121,2021-01-07T10:08:27Z,172.7,191,5.27130633,8.00105917,00:37:23,00:37:19
1122,2021-01-07T10:08:29Z,172.5,192,5.27131333,8.00105967,00:37:25,00:37:21
1123,2021-01-07T10:08:31Z,172.3,195,5.27131883,8.00105767,00:37:27,00:37:23
1124,2021-01-07T10:08:33Z,172.2,192,5.27132383,8.00105717,00:37:29,00:37:25
1125,2021-01-07T10:08:35Z,171.9,190,5.2713265,8.0010525,00:37:31,00:37:27
1126,2021-01-07T10:08:37Z,171.6,191,5.2713335,8.00104933,00:37:33,00:37:29
1127,2021-01-07T10:08:39Z,171.3,192,5.2713385,8.00104567,00:37:35,00:37:31
1128,2021-01-07T10:08:41Z,171.1,194,5.27134617,8.0010455,00:37:36,00:37:32
1129,2021-01-07T10:08:43Z,170.9,194,5.27135933,8.001047,00:37:40,00:37:36
1130,2021-01-07T10:08:45Z,170.8,195,5.27136633,8.0010475,00:37:42,00:37:38
1131,2021-01-07T10:08:47Z,170.8,204,5.27137167,8.00104867,00:37:44,00:37:40
1132,2021-01-07T10:08:49Z,170.7,210,5.2713765,8.001048,00:37:46,00:37:42
1133,2021-01-07T10:08:51Z,170.7,215,5.27137583,8.00104583,00:37:47,00:37:43
1134,2021-01-07T10:08:53Z,170.7,217,5.2713755,8.00104183,00:37:49,00:37:45
1135,2021-01-07T10:08:55Z,170.6,215,5.2713755,8.00103983,00:37:51,00:37:47
1136,2021-01-07T10:08:57Z,170.5,214,5.27137117,8.00104033,00:37:53,00:37:49
1137,2021-01-07T10:08:59Z,170.4,210,5.27136433,8.00103917,00:37:55,00:37:51
1138,2021-01-07T10:09:01Z,170.2,209,5.271364,8.00103633,00:37:57,00:37:53
1139,2021-01-07T10:09:03Z,170,206,5.27136117,8.00103467,00:37:59,00:37:55
1140,2021-01-07T10:09:05Z,169.9,202,5.2713625,8.00103533,00:38:00,00:37:56
1141,2021-01-07T10:09:07Z,169.6,203,5.2713655,8.0010315,00:38:04,00:38:00
1142,2021-01-07T10:09:09Z,169.6,206,5.2713665,8.001028,00:38:06,00:38:02
1143,2021-01-07T10:09:11Z,169.3,207,5.27136467,8.001028,00:38:08,00:38:04
1144,2021-01-07T10:09:13Z,169.3,209,5.27136583,8.00102767,00:38:10,00:38:06
1145,2021-01-07T10:09:15Z,169,209,5.27136733,8.001028,00:38:12,00:38:08
1146,2021-01-07T10:09:17Z,169.1,214,5.27137117,8.001029,00:38:13,00:38:09
1147,2021-01-07T10:09:19Z,168.9,212,5.27137517,8.00102817,00:38:15,00:38:11
1148,2021-01-07T10:09:21Z,168.9,209,5.27137033,8.00102783,00:38:17,00:38:13
1149,2021-01-07T10:09:23Z,168.6,206,5.27136833,8.00102667,00:38:19,00:38:15
1150,2021-01-07T10:09:25Z,168.3,206,5.27137317,8.0010265,00:38:21,00:38:17
1151,2021-01-07T10:09:27Z,168,206,5.27137533,8.00102483,00:38:23,00:38:19
1152,2021-01-07T10:09:29Z,167.9,204,5.27136867,8.00102583,00:38:25,00:38:21
1153,2021-01-07T10:09:31Z,167.6,205,5.27136567,8.00102717,00:38:26,00:38:22
1154,2021-01-07T10:09:33Z,167.5,206,5.27136067,8.00102983,00:38:30,00:38:26
1155,2021-01-07T10:09:35Z,167.2,206,5.27136167,8.0010305,00:38:32,00:38:28
1156,2021-01-07T10:09:37Z,166.8,204,5.27136317,8.0010305,00:38:34,00:38:30
1157,2021-01-07T10:09:39Z,166.6,203,5.2713635,8.001032,00:38:36,00:38:32
1158,2021-01-07T10:09:41Z,166.3,203,5.2713695,8.00103083,00:38:38,00:38:34
1159,2021-01-07T10:09:43Z,166,202,5.271372,8.00102917,00:38:39,00:38:35
1160,2021-01-07T10:09:45Z,165.7,202,5.27137183,8.00102783,00:38:41,00:38:37
1161,2021-01-07T10:09:47Z,165.5,208,5.271374,8.0010285,00:38:43,00:38:39
1162,2021-01-07T10:09:49Z,165.5,205,5.27137667,8.00102783,00:38:45,00:38:41
1163,2021-01-07T10:09:51Z,165.4,206,5.27137283,8.0010255,00:38:47,00:38:43
1164,2021-01-07T10:09:53Z,165.4,207,5.27137033,8.00102367,00:38:49,00:38:45
1165,2021-01-07T10:09:55Z,165.2,208,5.27137233,8.00102067,00:38:51,00:38:47
1166,2021-01-07T10:09:57Z,165.2,208,5.27136933,8.00101883,00:38:52,00:38:48
1167,2021-01-07T10:09:59Z,165.1,207,5.27137167,8.00101533,00:38:56,00:38:52
1168,2021-01-07T10:10:01Z,164.9,205,5.2713705,8.00101317,00:38:58,00:38:54
1169,2021-01-07T10:10:03Z,164.7,205,5.27136917,8.00100983,NA,NA
1170,2021-01-07T10:10:05Z,164.4,207,5.27136367,8.00100667,00:39:02,00:38:58
1171,2021-01-07T10:10:07Z,164.3,207,5.27136117,8.00100367,00:39:04,00:39:00
1172,2021-01-07T10:10:09Z,164,209,5.27136383,8.001001,00:39:05,00:39:01
1173,2021-01-07T10:10:11Z,164.1,209,5.27135983,8.000999,00:39:07,00:39:03
1174,2021-01-07T10:10:13Z,163.8,206,5.27135767,8.00099733,00:39:09,00:39:05
1175,2021-01-07T10:10:15Z,163.6,207,5.27135967,8.00099633,00:39:11,00:39:07
1176,2021-01-07T10:10:17Z,163.5,208,5.271357,8.0009955,00:39:13,00:39:09
1177,2021-01-07T10:10:19Z,163.3,202,5.271356,8.00099383,00:39:15,00:39:11
1178,2021-01-07T10:10:21Z,163.2,193,5.2713505,8.00099233,00:39:16,00:39:12
1179,2021-01-07T10:10:23Z,163,188,5.2713485,8.00099033,00:39:20,00:39:16
1180,2021-01-07T10:10:25Z,162.7,186,5.27134733,8.00098933,00:39:22,00:39:18
1181,2021-01-07T10:10:27Z,162.4,187,5.27134333,8.00098967,00:39:24,00:39:20
1182,2021-01-07T10:10:29Z,162.2,184,5.27134333,8.00098967,00:39:24,00:39:20
1183,2021-01-07T10:10:31Z,162,188,5.27134017,8.00098817,00:39:28,00:39:24
1184,2021-01-07T10:10:33Z,161.8,185,5.27134933,8.00098367,00:39:29,00:39:25
1185,2021-01-07T10:10:35Z,161.7,183,5.271353,8.00097917,00:39:31,00:39:27
1186,2021-01-07T10:10:37Z,161.8,196,5.271364,8.0009755,00:39:33,00:39:29
1187,2021-01-07T10:10:39Z,161.8,199,5.27137617,8.00097367,00:39:35,00:39:31
1188,2021-01-07T10:10:41Z,161.6,206,5.27138517,8.00097183,00:39:36,00:39:32
1189,2021-01-07T10:10:43Z,161.6,209,5.2714105,8.000966,00:39:40,00:39:36
1190,2021-01-07T10:10:45Z,161.3,210,5.2714235,8.00096517,00:39:42,00:39:38
1191,2021-01-07T10:10:47Z,160.9,211,5.271433,8.00096483,00:39:44,00:39:40
1192,2021-01-07T10:10:49Z,160.6,212,5.27143817,8.0009645,00:39:46,00:39:42
1193,2021-01-07T10:10:51Z,160.3,212,5.27143817,8.00096433,00:39:48,00:39:44
1194,2021-01-07T10:10:53Z,160.1,210,5.27143317,8.00096283,00:39:49,00:39:45
1195,2021-01-07T10:10:55Z,160.1,205,5.27143167,8.00095933,00:39:51,00:39:47
1196,2021-01-07T10:10:57Z,159.8,203,5.27143117,8.000954,00:39:53,00:39:49
1197,2021-01-07T10:10:59Z,159.5,207,5.27142783,8.0009505,00:39:55,00:39:51
1198,2021-01-07T10:11:01Z,159.1,211,5.27143383,8.0009465,00:39:57,00:39:53
1199,2021-01-07T10:11:03Z,159,219,5.2714375,8.0009425,00:39:59,00:39:55
1200,2021-01-07T10:11:05Z,158.8,222,5.27143667,8.00093917,00:40:01,00:39:57
1201,2021-01-07T10:11:07Z,159,229,5.27144133,8.000935,00:40:02,00:39:58
1202,2021-01-07T10:11:09Z,159.2,233,5.271434,8.00092483,00:40:06,00:40:02
1203,2021-01-07T10:11:11Z,159.4,234,5.27142917,8.0009205,00:40:08,00:40:04
1204,2021-01-07T10:11:13Z,159.3,235,5.271419,8.00091483,00:40:10,00:40:06
1205,2021-01-07T10:11:15Z,159.3,234,5.27141067,8.00091,00:40:12,00:40:08
1206,2021-01-07T10:11:17Z,159.1,231,5.27139917,8.00090533,00:40:14,00:40:10
1207,2021-01-07T10:11:19Z,159.1,233,5.27138983,8.00090167,00:40:15,00:40:11
1208,2021-01-07T10:11:21Z,159.2,238,5.27138783,8.00089767,00:40:17,00:40:13
1209,2021-01-07T10:11:23Z,159.2,238,5.27138167,8.00089383,00:40:19,00:40:15
1210,2021-01-07T10:11:25Z,159,240,5.27137683,8.0008905,00:40:21,00:40:17
1211,2021-01-07T10:11:27Z,158.7,240,5.27137867,8.00088917,00:40:23,00:40:19
1212,2021-01-07T10:11:29Z,158.7,242,5.2713785,8.0008895,00:40:25,00:40:21
1213,2021-01-07T10:11:31Z,158.5,239,5.27137867,8.0008895,00:40:27,00:40:23
1214,2021-01-07T10:11:33Z,158.4,239,5.27137683,8.00089017,00:40:28,00:40:24
1215,2021-01-07T10:11:35Z,158.4,238,5.27136933,8.00088917,00:40:32,00:40:28
1216,2021-01-07T10:11:37Z,158.3,238,5.2713655,8.00088883,00:40:34,00:40:30
1217,2021-01-07T10:11:39Z,158.1,238,5.27136017,8.00088933,00:40:36,00:40:32
1218,2021-01-07T10:11:41Z,158,234,5.27135217,8.00088867,00:40:38,00:40:34
1219,2021-01-07T10:11:43Z,158.1,235,5.271348,8.00088883,00:40:39,00:40:35
1220,2021-01-07T10:11:45Z,157.9,235,5.27134717,8.0008875,00:40:41,00:40:37
1221,2021-01-07T10:11:47Z,157.6,236,5.271343,8.00088683,00:40:43,00:40:39
1222,2021-01-07T10:11:49Z,157.4,236,5.2713415,8.00088583,00:40:45,00:40:41
1223,2021-01-07T10:11:51Z,157.2,234,5.271339,8.0008845,00:40:47,00:40:43
1224,2021-01-07T10:11:53Z,157,233,5.271332,8.00088233,00:40:49,00:40:45
1225,2021-01-07T10:11:55Z,156.8,233,5.27132633,8.00088,00:40:51,00:40:47
1226,2021-01-07T10:11:57Z,156.5,232,5.27131933,8.00087867,00:40:52,00:40:48
1227,2021-01-07T10:11:59Z,156.1,232,5.2713105,8.00087417,00:40:56,00:40:52
1228,2021-01-07T10:12:01Z,155.9,229,5.27131117,8.000874,00:40:58,00:40:54
1229,2021-01-07T10:12:03Z,155.7,230,5.27130517,8.00087233,NA,NA
1230,2021-01-07T10:12:05Z,155.4,229,5.27130083,8.00086833,00:41:02,00:40:58
1231,2021-01-07T10:12:07Z,155.2,229,5.27129967,8.00086833,00:41:04,00:41:00
1232,2021-01-07T10:12:09Z,155.1,228,5.27129917,8.00086867,00:41:05,00:41:01
1233,2021-01-07T10:12:11Z,154.9,224,5.2712905,8.00086783,00:41:07,00:41:03
1234,2021-01-07T10:12:13Z,154.5,223,5.2712825,8.00086733,00:41:09,00:41:05
1235,2021-01-07T10:12:15Z,154.4,223,5.27127,8.00086483,00:41:11,00:41:07
1236,2021-01-07T10:12:17Z,154.3,224,5.27126183,8.00086217,00:41:13,00:41:09
1237,2021-01-07T10:12:19Z,154.4,225,5.27125017,8.00085917,00:41:15,00:41:11
1238,2021-01-07T10:12:21Z,154.2,235,5.27124567,8.000856,00:41:17,00:41:13
1239,2021-01-07T10:12:23Z,154,245,5.27124517,8.00085467,00:41:18,00:41:14
1240,2021-01-07T10:12:25Z,153.7,251,5.2712535,8.00085333,00:41:22,00:41:18
1241,2021-01-07T10:12:27Z,153.5,255,5.27125983,8.00085367,00:41:24,00:41:20
1242,2021-01-07T10:12:29Z,153.3,243,5.271263,8.00085567,00:41:26,00:41:22
1243,2021-01-07T10:12:31Z,153.5,224,5.27125917,8.00085867,00:41:28,00:41:24
1244,2021-01-07T10:12:33Z,153.5,207,5.2712496700000004,8.0008605,00:41:30,00:41:26
1245,2021-01-07T10:12:35Z,153.2,198,5.27123967,8.00086033,00:41:31,00:41:27
1246,2021-01-07T10:12:37Z,152.9,195,5.27123267,8.0008605,00:41:33,00:41:29
1247,2021-01-07T10:12:39Z,152.5,199,5.27122617,8.00086117,00:41:35,00:41:31
1248,2021-01-07T10:12:41Z,152.1,208,5.271223,8.00086083,00:41:37,00:41:33
1249,2021-01-07T10:12:43Z,151.9,224,5.271225,8.00085917,00:41:39,00:41:35
1250,2021-01-07T10:12:45Z,151.6,235,5.271227,8.00085767,00:41:41,00:41:37
1251,2021-01-07T10:12:47Z,151.6,248,5.2712285,8.00085633,00:41:43,00:41:39
1252,2021-01-07T10:12:49Z,151.8,241,5.27123383,8.00085617,00:41:44,00:41:40
1253,2021-01-07T10:12:51Z,151.8,236,5.27122633,8.000854,00:41:48,00:41:44
1254,2021-01-07T10:12:53Z,151.6,232,5.2712165,8.00085217,00:41:50,00:41:46
1255,2021-01-07T10:12:55Z,151.3,225,5.27121567,8.00084883,00:41:52,00:41:48
1256,2021-01-07T10:12:57Z,151.2,218,5.27120933,8.000844,00:41:54,00:41:50
1257,2021-01-07T10:12:59Z,151,216,5.271213,8.000841,00:41:56,00:41:52
1258,2021-01-07T10:13:01Z,151,220,5.2712155,8.0008375,00:41:57,00:41:53
1259,2021-01-07T10:13:03Z,151.1,218,5.27121567,8.00083433,00:41:59,00:41:55
1260,2021-01-07T10:13:05Z,151,217,5.271219,8.0008315,00:42:01,00:41:57
1261,2021-01-07T10:13:07Z,150.9,217,5.27121767,8.00083083,00:42:03,00:41:59
1262,2021-01-07T10:13:09Z,150.8,217,5.27121767,8.00083083,00:42:03,00:41:59
1263,2021-01-07T10:13:11Z,150.6,214,5.27122017,8.00083,00:42:07,00:42:03
1264,2021-01-07T10:13:13Z,150.6,211,5.27122867,8.0008295,00:42:08,00:42:04
1265,2021-01-07T10:13:15Z,150.5,209,5.27123233,8.0008275,00:42:10,00:42:06
1266,2021-01-07T10:13:17Z,150.3,209,5.27123867,8.00082417,00:42:14,00:42:10
1267,2021-01-07T10:13:19Z,150,210,5.2712485,8.00082167,00:42:16,00:42:12
1268,2021-01-07T10:13:21Z,149.8,214,5.2712615,8.00082033,00:42:18,00:42:14
1269,2021-01-07T10:13:23Z,149.6,219,5.27127,8.00081767,00:42:20,00:42:16
1270,2021-01-07T10:13:25Z,149.5,220,5.27128283,8.00081483,00:42:21,00:42:17
1271,2021-01-07T10:13:27Z,149.2,221,5.271293,8.0008115,00:42:23,00:42:19
1272,2021-01-07T10:13:29Z,148.8,222,5.27129667,8.0008081700000009,00:42:25,00:42:21
1273,2021-01-07T10:13:31Z,148.7,223,5.271298,8.00080633,00:42:27,00:42:23
1274,2021-01-07T10:13:33Z,148.3,220,5.271299,8.00080333,00:42:29,00:42:25
1275,2021-01-07T10:13:35Z,148,220,5.27130017,8.00080017,00:42:31,00:42:27
1276,2021-01-07T10:13:37Z,147.9,219,5.27130567,8.00079717,00:42:33,00:42:29
1277,2021-01-07T10:13:39Z,147.7,221,5.2713075,8.00079267,00:42:34,00:42:30
1278,2021-01-07T10:13:41Z,147.5,220,5.27131333,8.0007835,00:42:38,00:42:34
1279,2021-01-07T10:13:43Z,147.3,225,5.2713215,8.00077933,00:42:40,00:42:36
1280,2021-01-07T10:13:45Z,147.2,222,5.2713265,8.00077517,00:42:42,00:42:38
1281,2021-01-07T10:13:47Z,147,222,5.27133267,8.000772,00:42:44,00:42:40
1282,2021-01-07T10:13:49Z,146.9,223,5.2713385,8.00077,00:42:46,00:42:42
1283,2021-01-07T10:13:51Z,146.6,222,5.27134583,8.00076883,00:42:47,00:42:43
1284,2021-01-07T10:13:53Z,146.5,224,5.27134683,8.000766,00:42:49,00:42:45
1285,2021-01-07T10:13:55Z,146.3,224,5.27134967,8.000765,00:42:51,00:42:47
1286,2021-01-07T10:13:57Z,146.1,224,5.27134617,8.000763,00:42:53,00:42:49
1287,2021-01-07T10:13:59Z,145.8,225,5.27134867,8.00076117,00:42:55,00:42:51
1288,2021-01-07T10:14:01Z,145.6,225,5.27135167,8.00075933,00:42:57,00:42:53
1289,2021-01-07T10:14:03Z,145.1,227,5.27135167,8.00075733,00:42:59,00:42:55
1290,2021-01-07T10:14:05Z,144.6,230,5.27135783,8.00075483,00:43:00,00:42:56
1291,2021-01-07T10:14:07Z,144.1,231,5.27136717,8.00074933,00:43:04,00:43:00
1292,2021-01-07T10:14:09Z,143.7,230,5.27137,8.00074717,00:43:06,00:43:02
1293,2021-01-07T10:14:11Z,143.4,227,5.2713695,8.00074383,00:43:08,00:43:04
1294,2021-01-07T10:14:13Z,143.3,227,5.27136733,8.000742,00:43:10,00:43:06
1295,2021-01-07T10:14:15Z,143,225,5.271358,8.00073817,00:43:12,00:43:08
1296,2021-01-07T10:14:17Z,142.7,225,5.27135483,8.00073517,00:43:13,00:43:09
1297,2021-01-07T10:14:19Z,142.4,228,5.27135183,8.0007325,00:43:15,00:43:11
1298,2021-01-07T10:14:21Z,142.1,234,5.27134967,8.00073017,00:43:17,00:43:13
1299,2021-01-07T10:14:23Z,141.7,242,5.27134583,8.0007245,00:43:19,00:43:15
1300,2021-01-07T10:14:25Z,141.3,247,5.27134383,8.00071967,00:43:21,00:43:17
1301,2021-01-07T10:14:27Z,141,251,5.27134583,8.00071583,00:43:23,00:43:19
1302,2021-01-07T10:14:29Z,140.9,251,5.27134617,8.00071333,00:43:25,00:43:21
1303,2021-01-07T10:14:31Z,140.6,251,5.27134383,8.000711,00:43:26,00:43:22
1304,2021-01-07T10:14:33Z,140.4,249,5.27133317,8.00070733,00:43:30,00:43:26
1305,2021-01-07T10:14:35Z,140.1,247,5.271328,8.000705,00:43:32,00:43:28
1306,2021-01-07T10:14:37Z,139.7,242,5.27132,8.0007015,00:43:34,00:43:30
1307,2021-01-07T10:14:39Z,139.5,233,5.27131083,8.00069817,00:43:36,00:43:32
1308,2021-01-07T10:14:41Z,139.3,231,5.27130217,8.00069483,00:43:37,00:43:33
