datetime,videotime,lon,lat,depth,LON2,LAT2,depth_interpolated,videotime_interpolated,xsmoothed,ysmoothed
2022-03-01T10:48:28Z,00:01:19,15.27923417,68.02926983,338.4,15.27923417,68.02926983,338.4,79,15.279266986322392,68.02925776043507
2022-03-01T10:48:30Z,00:01:20,15.2792375,68.02923683,338.4,15.2792375,68.02923683,338.4,80,15.279262628331383,68.02925353555752
2022-03-01T10:48:32Z,00:01:20,15.2792375,68.02923683,338.2,15.2792375,68.02923683,338.2,80,15.279260844004602,68.02924942917214
2022-03-01T10:48:34Z,00:01:24,15.27926283,68.02923417,339.5,15.27926283,68.02923417,339.5,84,15.279262168792725,68.02924614401894
2022-03-01T10:48:36Z,00:01:26,15.27925867,68.02923617,338.9,15.27925867,68.02923617,338.9,86,15.279266763566595,68.02924420009205
2022-03-01T10:48:38Z,00:01:28,15.27925633,68.02923983,339,15.27925633,68.02923983,339,88,15.279273290877656,68.02924338640206
2022-03-01T10:48:40Z,00:01:30,15.2792635,68.02924233,339.2,15.2792635,68.02924233,339.2,90,15.279280038697516,68.02924330921375
2022-03-01T10:48:42Z,00:01:32,15.27928,68.02925083,339.1,15.27928,68.02925083,339.1,92,15.279285294997782,68.02924357479188
2022-03-01T10:48:44Z,00:01:33,15.27928833,68.02924867,338.9,15.27928833,68.02924867,338.9,93,15.279287347750046,68.02924378940119
2022-03-01T10:48:46Z,00:01:35,15.279295,68.029242,338.6,15.279295,68.029242,338.6,95,15.279284428679068,68.02924356667472
2022-03-01T10:48:48Z,00:01:37,15.27931167,68.02923767,338.3,15.27931167,68.02923767,338.3,97,15.279274544522202,68.02924254971862
2022-03-01T10:48:50Z,00:01:39,15.27931333,68.029241,338.7,15.27931333,68.029241,338.7,99,15.279255645769965,68.02924038900721
2022-03-01T10:48:52Z,00:01:43,15.2793095,68.02925417,338.9,15.2793095,68.02925417,338.9,103,15.279225682912859,68.02923673501493
2022-03-01T10:48:54Z,00:01:45,15.279307,68.02925167,338.5,15.279307,68.02925167,338.5,105,15.27918446659156,68.0292314522969
2022-03-01T10:48:56Z,00:01:46,15.27930767,68.0292535,338.4,15.27930767,68.0292535,338.4,106,15.279139248047398,68.02922526173133
2022-03-01T10:48:58Z,00:01:48,15.27894333,68.02918867,339.4,15.27894333,68.02918867,339.4,108,15.27909913867188,68.0292190982771
2022-03-01T10:49:00Z,00:01:50,15.27890433,68.02918133,345.8,15.27890433,68.02918133,345.8,110,15.279073249856502,68.02921389689315
2022-03-01T10:49:02Z,00:01:52,15.27891633,68.02921133,343.6,15.27891633,68.02921133,343.6,112,15.279068461259689,68.02921036039947
2022-03-01T10:49:04Z,00:01:54,15.27886467,68.029209,345,15.27886467,68.029209,345,114,15.279082725607584,68.0292082630601
2022-03-01T10:49:06Z,00:01:56,15.279161,68.029187,344.5,15.279161,68.029187,344.5,116,15.279111763893257,68.02920714700014
2022-03-01T10:49:08Z,00:01:58,15.279242,68.02920033,348.2,15.279242,68.02920033,348.2,118,15.27915129710977,68.02920655434464
2022-03-01T10:49:10Z,00:01:59,15.27923033,68.0292285,340.3,15.27923033,68.0292285,340.3,119,15.2791970462502,68.02920602721875
2022-03-01T10:49:12Z,00:02:01,15.2792845,68.0292085,343.7,15.2792845,68.0292085,343.7,121,15.279244916492187,68.0292051518357
2022-03-01T10:49:14Z,00:02:03,15.279298,68.0292105,343.7,15.279298,68.0292105,343.7,123,15.279291549751733,68.02920369076173
2022-03-01T10:49:16Z,00:02:05,15.279329,68.0292125,340,15.279329,68.0292125,340,125,15.279333772129394,68.02920145065113
2022-03-01T10:49:18Z,00:02:09,15.279429500000001,68.02920217,345,15.279429500000001,68.02920217,345,129,15.279368409725755,68.0291982381583
2022-03-01T10:49:20Z,00:02:10,15.27943383,68.02919417,340.5,15.27943383,68.02919417,340.5,130,15.279393050476413,68.02919398909954
2022-03-01T10:49:22Z,00:02:12,15.2794385,68.02918267,340.8,15.2794385,68.02918267,340.8,132,15.27940832965709,68.029189155939
2022-03-01T10:49:24Z,00:02:14,15.27943417,68.0291885,341.9,15.27943417,68.0291885,341.9,134,15.279415644378533,68.02918432030275
2022-03-01T10:49:26Z,00:02:16,15.27941917,68.029177,339.6,15.27941917,68.029177,339.6,136,15.279416391751504,68.02918006381684
2022-03-01T10:49:28Z,00:02:18,15.2793815,68.02916733,341.1,15.2793815,68.02916733,341.1,138,15.279411994553794,68.0291768084818
2022-03-01T10:49:30Z,00:02:20,15.2793865,68.02916383,341.1,15.2793865,68.02916383,341.1,140,15.279403978231395,68.02917433779581
2022-03-01T10:49:32Z,00:02:22,15.27938017,68.0291655,341.1,15.27938017,68.0291655,341.1,142,15.279393893897337,68.02917227563161
2022-03-01T10:49:34Z,00:02:23,15.27937417,68.02916717,341.3,15.27937417,68.02916717,341.3,143,15.279383292664653,68.02917024586176
2022-03-01T10:49:36Z,00:02:25,15.27937167,68.0291695,342,15.27937167,68.0291695,342,145,15.279373381725367,68.02916794718686
2022-03-01T10:49:38Z,00:02:27,15.279362,68.02917367,342.3,15.279362,68.02917367,342.3,147,15.27936399258747,68.02916537761888
2022-03-01T10:49:40Z,00:02:29,15.27931883,68.0291875,342.5,15.27931883,68.0291875,342.5,149,15.279354612837952,68.02916260999768
2022-03-01T10:49:42Z,00:02:31,15.2793095,68.029189,343.1,15.2793095,68.029189,343.1,151,15.279344730063789,68.02915971716317
2022-03-01T10:49:44Z,00:02:35,15.2794735,68.029159,343.8,15.2794735,68.029159,343.8,155,15.279333831851973,68.02915677195516
2022-03-01T10:49:46Z,00:02:36,15.2793295,68.02911067,344.4,15.2793295,68.02911067,344.4,156,15.279321772205316,68.02915392696694
2022-03-01T10:49:48Z,00:02:38,15.27929133,68.0291525,344.6,15.27929133,68.0291525,344.6,158,15.279309870789964,68.02915165380551
2022-03-01T10:49:50Z,00:02:40,15.27927517,68.02914467,344.8,15.27927517,68.02914467,344.8,160,15.279299813687892,68.02915050383129
2022-03-01T10:49:52Z,00:02:42,15.27927933,68.02915983,345.2,15.27927933,68.02915983,345.2,162,15.279293286981083,68.02915102840467
2022-03-01T10:49:54Z,00:02:42,15.27927933,68.02915983,346,15.27927933,68.02915983,346,162,15.279291728521358,68.02915373339378
2022-03-01T10:49:56Z,00:02:42,15.27927933,68.02915983,346.1,15.27927933,68.02915983,346.1,162,15.279295583239952,68.02915894269773
2022-03-01T10:49:58Z,00:02:42,15.27927933,68.02915983,344.9,15.27927933,68.02915983,344.9,162,15.279305047837951,68.02916693472326
2022-03-01T10:50:00Z,00:02:42,15.27927933,68.02915983,346.2,15.27927933,68.02915983,346.2,162,15.279320319016444,68.0291779878772
2022-03-01T10:50:02Z,00:02:42,15.27927933,68.02915983,345.7,15.27927933,68.02915983,345.7,162,15.279340853984348,68.02919210829839
2022-03-01T10:50:04Z,00:02:42,15.27927933,68.02915983,346.8,15.27927933,68.02915983,346.8,162,15.279363151981935,68.02920821305358
2022-03-01T10:50:06Z,00:02:56,15.27945083,68.02927483,347.1,15.27945083,68.02927483,347.1,176,15.279382972757315,68.0292249469417
2022-03-01T10:50:08Z,00:02:57,15.2795075,68.02926583,346.3,15.2795075,68.02926583,346.3,177,15.279396076058598,68.02924095476159
2022-03-01T10:50:10Z,00:02:59,15.2793955,68.029262,347.1,15.2793955,68.029262,347.1,179,15.279398221633883,68.02925488131207
2022-03-01T10:50:12Z,00:03:03,15.27939083,68.0292905,344.8,15.27939083,68.0292905,344.8,183,15.279386009279323,68.0292656441764
2022-03-01T10:50:14Z,00:03:04,15.2794045,68.0292735,345.1,15.2794045,68.0292735,345.1,184,15.279359398983203,68.0292732520752
2022-03-01T10:50:16Z,00:03:06,15.27940817,68.029277,345.8,15.27940817,68.029277,345.8,186,15.279319190781857,68.02927798651346
2022-03-01T10:50:18Z,00:03:06,15.27940817,68.029277,346.1,15.27940817,68.029277,346.1,186,15.279266184711608,68.0292801289962
2022-03-01T10:50:20Z,00:03:06,15.27940817,68.029277,347.5,15.27940817,68.029277,347.5,186,15.279202289818956,68.0292799875048
2022-03-01T10:50:22Z,00:03:12,15.27889433,68.02926717,347.9,15.27889433,68.02926717,347.9,192,15.27913385119107,68.02927797592594
2022-03-01T10:50:24Z,00:03:14,15.27889683,68.029271,349.8,15.27889683,68.029271,349.8,194,15.279068322925298,68.02927453462274
2022-03-01T10:50:26Z,00:03:14,15.27889683,68.029271,347.4,15.27889683,68.029271,347.4,194,15.279013159118987,68.02927010395831
2022-03-01T10:50:28Z,00:03:17,15.27896083,68.02924167,347.8,15.27896083,68.02924167,347.8,197,15.278973963232021,68.0292647316651
2022-03-01T10:50:30Z,00:03:19,15.278907,68.02924167,348.6,15.278907,68.02924167,348.6,199,15.278948936174478,68.02925689495311
2022-03-01T10:50:32Z,00:03:21,15.27902183,68.02924817,348.2,15.27902183,68.02924817,348.2,201,15.278934428218971,68.02924467840177
2022-03-01T10:50:34Z,00:03:23,15.27898417,68.0292585,347.9,15.27898417,68.0292585,347.9,203,15.278926789638124,68.02922616659039
2022-03-01T10:50:36Z,00:03:25,15.27896783,68.02925867,348.7,15.27896783,68.02925867,348.7,205,15.278923214991503,68.02920042589588
2022-03-01T10:50:38Z,00:03:25,15.27896783,68.02925867,350.6,15.27896783,68.02925867,350.6,205,15.27892427598647,68.02917044988486
2022-03-01T10:50:40Z,00:03:25,15.27896783,68.02925867,348.3,15.27896783,68.02925867,348.3,205,15.278931388617362,68.0291402139215
2022-03-01T10:50:42Z,00:03:32,15.2787515,68.02900567,348.6,15.2787515,68.02900567,348.6,212,15.278945968878498,68.02911369336995
2022-03-01T10:50:44Z,00:03:32,15.2787515,68.02900567,350.8,15.2787515,68.02900567,350.8,212,15.278969432764193,68.02909486359432
2022-03-01T10:50:46Z,00:03:36,15.27918983,68.0290085,349.2,15.27918983,68.0290085,349.2,216,15.279002363766327,68.0290868771413
2022-03-01T10:50:48Z,00:03:38,15.27915217,68.02906467,351.5,15.27915217,68.02906467,351.5,218,15.279042015366956,68.02908959528773
2022-03-01T10:50:50Z,00:03:40,15.2790235,68.02898617,351.2,15.2790235,68.02898617,351.2,220,15.279084808545695,68.02910205649297
2022-03-01T10:50:52Z,00:03:42,15.279099,68.02907017,349.9,15.279099,68.02907017,349.9,222,15.279127164282157,68.02912329921645
2022-03-01T10:50:54Z,00:03:43,15.27921067,68.02917767,347.8,15.27921067,68.02917767,347.8,223,15.279166311732293,68.02915171898839
