"","Sperre_LOG_DATETIME","Sperre_Depth","Sperre_Heading","Survey_ROV_LON","Survey_ROV_LAT","Survey_LOG_RELTIME"
"1",2021-01-07 09:31:07,324.8,174,"5.27135717","8.00162900",00:00:04
"2",2021-01-07 09:31:09,324.9,164,"5.27135883","8.00162850",00:00:06
"3",2021-01-07 09:31:11,325.2,164,"5.27136583","8.00162833",00:00:07
"4",2021-01-07 09:31:13,325.8,183,"5.27137050","8.00162683",00:00:09
"5",2021-01-07 09:31:15,326.5,192,"5.27137817","8.00162633",00:00:11
"6",2021-01-07 09:31:17,326.8,201,"5.27137767","8.00162633",00:00:13
"7",2021-01-07 09:31:19,327.1,202,"5.27138483","8.00162250",00:00:15
"8",2021-01-07 09:31:21,326.9,194,"5.27138767","8.00161800",00:00:17
"9",2021-01-07 09:31:23,326.8,199,"5.27138983","8.00161117",00:00:19
"10",2021-01-07 09:31:25,326.5,206,"5.27139450","8.00160350",00:00:20
"11",2021-01-07 09:31:27,326.4,209,"5.27138433","8.00158933",00:00:24
"12",2021-01-07 09:31:29,325.9,213,"5.27137783","8.00158233",00:00:26
"13",2021-01-07 09:31:31,325.6,217,"5.27135883","8.00157617",00:00:28
"14",2021-01-07 09:31:33,325.4,215,"5.27133933","8.00157083",00:00:30
"15",2021-01-07 09:31:35,325.2,212,"5.27132017","8.00156567",00:00:32
"16",2021-01-07 09:31:37,325,206,"5.27130250","8.00155917",00:00:33
"17",2021-01-07 09:31:39,324.8,204,"5.27129050","8.00155650",00:00:35
"18",2021-01-07 09:31:41,324.5,201,"5.27127550","8.00155433",00:00:37
"19",2021-01-07 09:31:43,324.3,197,"5.27126417","8.00155367",00:00:39
"20",2021-01-07 09:31:45,324.1,195,"5.27124917","8.00155700",00:00:41
"21",2021-01-07 09:31:47,323.9,196,"5.27123567","8.00156033",00:00:43
"22",2021-01-07 09:31:49,323.5,194,"5.27122817","8.00155967",00:00:44
"23",2021-01-07 09:31:51,323.2,191,"5.27121800","8.00155683",00:00:46
"24",2021-01-07 09:31:53,323.1,190,"5.27121500","8.00154850",00:00:50
"25",2021-01-07 09:31:55,323.1,187,"5.27121250","8.00154333",00:00:52
"26",2021-01-07 09:31:57,323,187,"5.27121200","8.00154167",00:00:54
"27",2021-01-07 09:31:59,322.9,189,"5.27121467","8.00154033",00:00:56
"28",2021-01-07 09:32:01,322.6,187,"5.27122033","8.00153717",00:00:57
"29",2021-01-07 09:32:03,322.2,189,"5.27122233","8.00153083",00:00:59
"30",2021-01-07 09:32:05,322,186,"5.27122533","8.00152833",00:01:01
"31",2021-01-07 09:32:07,321.8,179,"5.27123983","8.00152367",00:01:03
"32",2021-01-07 09:32:09,321.6,183,"5.27124750","8.00151917",00:01:05
"33",2021-01-07 09:32:11,321.3,186,"5.27126250","8.00151300",00:01:07
"34",2021-01-07 09:32:13,320.8,190,"5.27127650","8.00150783",00:01:09
"35",2021-01-07 09:32:15,320.4,194,"5.27128533","8.00150183",00:01:10
"36",2021-01-07 09:32:17,320.4,193,"5.27128833","8.00149750",00:01:12
"37",2021-01-07 09:32:19,320.3,197,"5.27129067","8.00149217",00:01:16
"38",2021-01-07 09:32:21,320.3,199,"5.27129033","8.00149250",00:01:18
"39",2021-01-07 09:32:23,320,198,"5.27129467","8.00149617",00:01:20
"40",2021-01-07 09:32:25,320,200,"5.27129733","8.00149667",00:01:22
"41",2021-01-07 09:32:27,320,199,"5.27130167","8.00149333",00:01:23
"42",2021-01-07 09:32:29,319.7,197,"5.27129800","8.00149333",00:01:25
"43",2021-01-07 09:32:31,319.6,197,"5.27129467","8.00148733",00:01:27
"44",2021-01-07 09:32:33,319.4,195,"5.27129400","8.00148533",00:01:29
"45",2021-01-07 09:32:35,319.2,195,"5.27129433","8.00148317",00:01:31
"46",2021-01-07 09:32:37,319,193,"5.27128617","8.00148117",00:01:33
"47",2021-01-07 09:32:39,318.8,194,"5.27128317","8.00147767",00:01:35
"48",2021-01-07 09:32:41,318.7,197,"5.27128250","8.00148100",00:01:36
"49",2021-01-07 09:32:43,318.5,191,"5.27126833","8.00148083",00:01:40
"50",2021-01-07 09:32:45,318.7,195,"5.27125950","8.00148000",00:01:42
"51",2021-01-07 09:32:47,318.9,197,"5.27125400","8.00147533",00:01:44
"52",2021-01-07 09:32:49,319.1,196,"5.27124617","8.00147583",00:01:46
"53",2021-01-07 09:32:51,319.5,196,"5.27123900","8.00147517",00:01:47
"54",2021-01-07 09:32:53,319.7,198,"5.27123117","8.00147483",00:01:49
"55",2021-01-07 09:32:55,319.9,198,"5.27122883","8.00147083",00:01:51
"56",2021-01-07 09:32:57,320,196,"5.27122633","8.00146967",00:01:53
"57",2021-01-07 09:32:59,320,198,"5.27122133","8.00147200",00:01:55
"58",2021-01-07 09:33:01,320.1,198,"5.27122183","8.00147250",00:01:57
"59",2021-01-07 09:33:03,320.1,199,"5.27122483","8.00147150",00:01:59
"60",2021-01-07 09:33:05,320.1,200,"5.27122817","8.00147183",00:02:00
"61",2021-01-07 09:33:07,320.1,200,"5.27123900","8.00146867",00:02:02
"62",2021-01-07 09:33:09,320.2,202,"5.27123183","8.00146550",00:02:06
"63",2021-01-07 09:33:11,320.2,200,"5.27123267","8.00146700",00:02:08
"64",2021-01-07 09:33:13,320.1,203,"5.27122833","8.00146733",00:02:10
"65",2021-01-07 09:33:15,320,202,"5.27122050","8.00146833",00:02:12
"66",2021-01-07 09:33:17,320,202,"5.27121617","8.00146867",00:02:13
"67",2021-01-07 09:33:19,320,201,"5.27119683","8.00147100",00:02:15
"68",2021-01-07 09:33:21,319.6,202,"5.27118267","8.00147100",00:02:17
"69",2021-01-07 09:33:23,319.1,202,"5.27117317","8.00147150",00:02:19
"70",2021-01-07 09:33:25,318.7,199,"5.27116633","8.00147267",00:02:21
"71",2021-01-07 09:33:27,318.4,201,"5.27116000","8.00147417",00:02:23
"72",2021-01-07 09:33:29,318.4,190,"5.27115567","8.00147617",00:02:25
"73",2021-01-07 09:33:31,318.4,198,"5.27115300","8.00148017",00:02:26
"74",2021-01-07 09:33:33,318.4,202,"5.27115067","8.00147417",00:02:30
"75",2021-01-07 09:33:35,318.1,209,"5.27115283","8.00147033",00:02:32
"76",2021-01-07 09:33:37,318,216,"5.27115083","8.00146733",00:02:34
"77",2021-01-07 09:33:39,317.8,217,"5.27115450","8.00146583",00:02:36
"78",2021-01-07 09:33:41,317.7,218,"5.27114700","8.00146367",00:02:37
"79",2021-01-07 09:33:43,317.5,217,"5.27114683","8.00145867",00:02:39
"80",2021-01-07 09:33:45,317.4,216,"5.27114717","8.00145617",00:02:41
"81",2021-01-07 09:33:47,317.3,216,"5.27115000","8.00145167",00:02:43
"82",2021-01-07 09:33:49,317.2,214,"5.27114150","8.00144900",00:02:45
"83",2021-01-07 09:33:51,317.2,207,"5.27114250","8.00144783",00:02:47
"84",2021-01-07 09:33:53,317.4,197,"5.27114333","8.00144617",00:02:49
"85",2021-01-07 09:33:55,317.2,192,"5.27114133","8.00144500",00:02:50
"86",2021-01-07 09:33:57,316.8,188,"5.27113633","8.00144433",00:02:52
"87",2021-01-07 09:33:59,316.7,183,"5.27114233","8.00144600",00:02:56
"88",2021-01-07 09:34:01,316.6,190,"5.27114250","8.00144667",00:02:58
"89",2021-01-07 09:34:03,316.9,184,"5.27113550","8.00144617",NA
"90",2021-01-07 09:34:05,317.1,187,"5.27113983","8.00144450",00:03:02
"91",2021-01-07 09:34:07,317.2,191,"5.27113967","8.00144133",00:03:03
"92",2021-01-07 09:34:09,317.3,194,"5.27113700","8.00143700",00:03:05
"93",2021-01-07 09:34:11,317.5,193,"5.27113550","8.00143250",00:03:07
"94",2021-01-07 09:34:13,317.5,195,"5.27113183","8.00143033",00:03:09
"95",2021-01-07 09:34:15,317.6,193,"5.27113517","8.00142483",00:03:11
"96",2021-01-07 09:34:17,317.7,194,"5.27113083","8.00142467",00:03:13
"97",2021-01-07 09:34:19,317.7,197,"5.27113400","8.00142183",00:03:15
"98",2021-01-07 09:34:21,317.6,197,"5.27114550","8.00141617",00:03:16
"99",2021-01-07 09:34:23,317.7,198,"5.27114550","8.00141617",00:03:16
"100",2021-01-07 09:34:25,317.7,194,"5.27115783","8.00141283",00:03:21
"101",2021-01-07 09:34:27,317.6,197,"5.27116367","8.00141500",00:03:23
"102",2021-01-07 09:34:29,317.6,195,"5.27116267","8.00141783",00:03:25
"103",2021-01-07 09:34:31,317.4,191,"5.27115867","8.00141917",00:03:27
"104",2021-01-07 09:34:33,317.2,186,"5.27114933","8.00141850",00:03:29
"105",2021-01-07 09:34:35,317.1,179,"5.27113517","8.00141717",00:03:31
"106",2021-01-07 09:34:37,316.9,176,"5.27112917","8.00141033",00:03:32
"107",2021-01-07 09:34:39,316.7,178,"5.27111917","8.00141117",00:03:34
"108",2021-01-07 09:34:41,316.5,179,"5.27112883","8.00141183",00:03:38
"109",2021-01-07 09:34:43,316.3,179,"5.27112683","8.00141200",00:03:40
"110",2021-01-07 09:34:45,316.1,178,"5.27113350","8.00141217",00:03:42
"111",2021-01-07 09:34:47,315.9,176,"5.27113683","8.00141550",00:03:44
"112",2021-01-07 09:34:49,315.6,178,"5.27114917","8.00141517",00:03:45
"113",2021-01-07 09:34:51,315.5,178,"5.27116083","8.00141467",00:03:47
"114",2021-01-07 09:34:53,315.2,180,"5.27116167","8.00141533",00:03:49
"115",2021-01-07 09:34:55,315.2,182,"5.27115700","8.00141383",00:03:51
"116",2021-01-07 09:34:57,315,185,"5.27116483","8.00141317",00:03:53
"117",2021-01-07 09:34:59,314.7,188,"5.27117717","8.00141383",00:03:55
"118",2021-01-07 09:35:01,314.2,190,"5.27118017","8.00141650",00:03:57
"119",2021-01-07 09:35:03,314,191,"5.27117767","8.00141767",00:03:58
"120",2021-01-07 09:35:05,313.9,190,"5.27117633","8.00142100",00:04:02
"121",2021-01-07 09:35:07,313.9,186,"5.27117017","8.00142033",00:04:04
"122",2021-01-07 09:35:09,313.7,185,"5.27117550","8.00141933",00:04:06
"123",2021-01-07 09:35:11,313.4,185,"5.27117100","8.00142017",00:04:08
"124",2021-01-07 09:35:13,313.2,184,"5.27117300","8.00141967",00:04:09
"125",2021-01-07 09:35:15,313.1,185,"5.27117183","8.00141917",00:04:11
"126",2021-01-07 09:35:17,312.9,185,"5.27117367","8.00141883",00:04:13
"127",2021-01-07 09:35:19,312.7,182,"5.27117617","8.00141917",00:04:15
"128",2021-01-07 09:35:21,312.7,187,"5.27118217","8.00142200",00:04:17
"129",2021-01-07 09:35:23,312.6,189,"5.27119100","8.00142283",00:04:19
"130",2021-01-07 09:35:25,312.4,190,"5.27119833","8.00142250",00:04:21
"131",2021-01-07 09:35:27,312.3,191,"5.27120300","8.00142150",00:04:22
"132",2021-01-07 09:35:29,312.3,192,"5.27121483","8.00141767",00:04:24
"133",2021-01-07 09:35:31,312.1,192,"5.27123117","8.00141100",00:04:28
"134",2021-01-07 09:35:33,311.9,192,"5.27123300","8.00140867",00:04:30
"135",2021-01-07 09:35:35,311.7,187,"5.27123133","8.00140633",00:04:32
"136",2021-01-07 09:35:37,311.6,185,"5.27122883","8.00140350",00:04:34
"137",2021-01-07 09:35:39,311.6,187,"5.27123317","8.00140133",00:04:35
"138",2021-01-07 09:35:41,311.3,188,"5.27123300","8.00139867",00:04:37
"139",2021-01-07 09:35:43,311.2,188,"5.27123383","8.00139717",00:04:39
"140",2021-01-07 09:35:45,311,185,"5.27123833","8.00139700",00:04:41
"141",2021-01-07 09:35:47,310.7,183,"5.27123717","8.00139817",00:04:43
"142",2021-01-07 09:35:49,310.4,179,"5.27124567","8.00139750",00:04:45
"143",2021-01-07 09:35:51,310.4,179,"5.27124483","8.00139783",00:04:47
"144",2021-01-07 09:35:53,310.1,178,"5.27125000","8.00139767",00:04:48
"145",2021-01-07 09:35:55,310.1,171,"5.27125183","8.00139817",00:04:50
"146",2021-01-07 09:35:57,309.9,166,"5.27125367","8.00139783",00:04:54
"147",2021-01-07 09:35:59,309.6,160,"5.27125517","8.00139650",00:04:56
"148",2021-01-07 09:36:01,309.4,160,"5.27126017","8.00139733",00:04:58
"149",2021-01-07 09:36:03,309.4,159,"5.27126217","8.00139933",NA
"150",2021-01-07 09:36:05,309.3,160,"5.27126333","8.00140067",00:05:01
"151",2021-01-07 09:36:07,309.1,159,"5.27126250","8.00140400",00:05:03
