datetime,videotime,lon,lat,depth,elapsed_seconds,LON2,LAT2,depth_interpolated,videotime_interpolated,xsmoothed,ysmoothed
2021-01-07T09:31:46Z,NA,NA,NA,NA,NA,5.27124242,8.001558665000001,324,39,5.271294390335837,8.001556425682317
2021-01-07T09:31:47Z,00:00:43,5.27123567,8.00156033,323.9,40,5.27123567,8.00156033,323.9,40,5.2712927380619785,8.001554680369118
2021-01-07T09:31:48Z,NA,NA,NA,NA,NA,5.27123192,8.001560000000001,323.7,41,5.271291132025427,8.00155294780292
2021-01-07T09:31:49Z,00:00:44,5.27122817,8.00155967,323.5,42,5.27122817,8.00155967,323.5,42,5.271289572840638,8.001551228108115
2021-01-07T09:31:50Z,NA,NA,NA,NA,NA,5.271223085,8.00155825,323.35,43,5.271288061122076,8.001549521409078
2021-01-07T09:31:51Z,00:00:46,5.271218,8.00155683,323.2,44,5.271218,8.00155683,323.2,44,5.271286597484192,8.001547827830198
2021-01-07T09:31:52Z,NA,NA,NA,NA,NA,5.2712164999999995,8.001552665,323.15,45,5.271285182541452,8.001546147495858
2021-01-07T09:31:53Z,00:00:50,5.271215,8.0015485,323.1,46,5.271215,8.0015485,323.1,46,5.271283816908312,8.001544480530441
2021-01-07T09:31:54Z,NA,NA,NA,NA,NA,5.271213749999999,8.001545915000001,323.1,47,5.271282501199233,8.001542827058332
2021-01-07T09:31:55Z,00:00:52,5.2712125,8.00154333,323.1,48,5.2712125,8.00154333,323.1,48,5.271281236028671,8.001541187203914
2021-01-07T09:31:56Z,NA,NA,NA,NA,NA,5.27121225,8.0015425,323.05,49,5.271280022011088,8.001539561091569
2021-01-07T09:31:57Z,00:00:54,5.271212,8.00154167,323,50,5.271212,8.00154167,323,50,5.27127885976094,8.001537948845685
2021-01-07T09:31:58Z,NA,NA,NA,NA,NA,5.2712133350000006,8.001541,322.95,51,5.271277749892691,8.001536350590644
2021-01-07T09:31:59Z,00:00:56,5.27121467,8.00154033,322.9,52,5.27121467,8.00154033,322.9,52,5.271276693020795,8.00153476645083
2021-01-07T09:32:00Z,NA,NA,NA,NA,NA,5.2712175000000006,8.00153875,322.75,53,5.271275689759713,8.001533196550628
2021-01-07T09:32:01Z,00:00:57,5.27122033,8.00153717,322.6,54,5.27122033,8.00153717,322.6,54,5.271274740091756,8.0015316410662
2021-01-07T09:32:02Z,NA,NA,NA,NA,NA,5.2712213299999995,8.001534,322.4,55,5.271273841470641,8.001530100380835
2021-01-07T09:32:03Z,00:00:59,5.27122233,8.00153083,322.2,56,5.27122233,8.00153083,322.2,56,5.271272990717935,8.001528574929598
2021-01-07T09:32:04Z,NA,NA,NA,NA,NA,5.27122383,8.00152958,322.1,57,5.271272184655206,8.001527065147558
2021-01-07T09:32:05Z,00:01:01,5.27122533,8.00152833,322,58,5.27122533,8.00152833,322,58,5.271271420104024,8.001525571469784
2021-01-07T09:32:06Z,NA,NA,NA,NA,NA,5.2712325799999995,8.001525999999998,321.9,59,5.271270693885956,8.001524094331346
2021-01-07T09:32:07Z,00:01:03,5.27123983,8.00152367,321.8,60,5.27123983,8.00152367,321.8,60,5.271270002822572,8.001522634167301
2021-01-07T09:32:08Z,NA,NA,NA,NA,NA,5.271243665,8.00152142,321.70000000000005,61,5.271269343735439,8.001521191412731
2021-01-07T09:32:09Z,00:01:05,5.2712475,8.00151917,321.6,62,5.2712475,8.00151917,321.6,62,5.2712687134461245,8.001519766502692
2021-01-07T09:32:10Z,NA,NA,NA,NA,NA,5.271255,8.001516084999999,321.45000000000005,63,5.271268108776198,8.001518359872255
2021-01-07T09:32:11Z,00:01:07,5.2712625,8.001513,321.3,64,5.2712625,8.001513,321.3,64,5.271267526547226,8.00151697195649
2021-01-07T09:32:12Z,NA,NA,NA,NA,NA,5.2712695,8.001510414999998,321.05,65,5.27126696358078,8.001515603190462
2021-01-07T09:32:13Z,00:01:09,5.2712765,8.00150783,320.8,66,5.2712765,8.00150783,320.8,66,5.271266416698426,8.00151425400924
2021-01-07T09:32:14Z,NA,NA,NA,NA,NA,5.271280915,8.00150483,320.6,67,5.271265882721732,8.001512924847892
2021-01-07T09:32:15Z,00:01:10,5.27128533,8.00150183,320.4,68,5.27128533,8.00150183,320.4,68,5.271265358472268,8.001511616141482
