X,Y,laser_frames,width,height,datetime,videotime,lon,lat,depth,elapsed_seconds,LON2,LAT2,depth_interpolated,videotime_interpolated,xsmoothed,ysmoothed,distance_3d,distance_travelled,bin
513007.605659064,7541887.144304508,NA,2.322431214941239,1.306367558404447,2021-01-08T08:49:11Z,NA,NA,NA,NA,NA,15.31107725,67.990921915,623.1500000000001,46,15.311030516172874,67.99094199832707,0.24492612164973637,10.535217602978603,"[0,100]"
513007.7456946408,7541886.95825119,NA,2.3104454544849906,1.2996255681478073,2021-01-08T08:49:12Z,00:00:50,15.31107933,67.9909165,623.1,47,15.31107933,67.9909165,623.1,47,15.31103384217285,67.99094032325551,0.23817178650984228,10.773389389488448,"[0,100]"
513007.88227197726,7541886.778543954,NA,2.298459694028742,1.2928835778911674,2021-01-08T08:49:13Z,NA,NA,NA,NA,NA,15.311083665,67.990914335,623.1,48,15.311037086246106,67.99093870525931,0.2257167688021446,10.999106158290592,"[0,100]"
513008.0153022372,7541886.605426494,NA,2.286473933572493,1.2861415876345277,2021-01-08T08:49:14Z,00:00:52,15.311088,67.99091217,623.1,49,15.311088,67.99091217,623.1,49,15.31104024629784,67.99093714652822,0.2183270595372804,11.217433217827873,"[0,100]"
513008.1446965835,7541886.439142504,[50.449766],2.2744881731162447,1.2793995973778878,2021-01-08T08:49:15Z,NA,NA,NA,NA,NA,15.311090585,67.99091133499999,623.1,50,15.311043320233246,67.990935649252,0.21069708657541103,11.428130304403282,"[0,100]"
513008.2703661799,7541886.279935678,NA,2.2862661946971476,1.2860247345171456,2021-01-08T08:49:16Z,00:00:54,15.31109317,67.9909105,623.1,51,15.31109317,67.9909105,623.1,51,15.311046305957523,67.99093421562036,0.2028291422796587,11.630959446682942,"[0,100]"
513008.3922221901,7541886.128049698,NA,2.298044216278051,1.2926498716564037,2021-01-08T08:49:17Z,NA,NA,NA,NA,NA,15.311098,67.990911165,623.2,52,15.31104920137588,67.99093284782302,0.2189023482998148,11.849861794982758,"[0,100]"
513008.5101757768,7541885.983728268,NA,2.309822237858954,1.2992750087956615,2021-01-08T08:49:18Z,00:00:56,15.31110283,67.99091183,623.3,53,15.31110283,67.99091183,623.3,53,15.3110520043935,67.99093154804977,0.21152239515125376,12.06138419013401,"[0,100]"
513008.6241381036,7541885.847215074,NA,2.321600259439857,1.3059001459349195,2021-01-08T08:49:19Z,NA,NA,NA,NA,NA,15.311099553333332,67.99091155333333,623.2333333333333,54,15.311054712915585,67.99093031849033,0.18991500338698256,12.251299193520993,"[0,100]"
513008.7340203341,7541885.718753814,NA,2.33337828102076,1.3125252830741774,2021-01-08T08:49:20Z,NA,NA,NA,NA,NA,15.311096276666666,67.99091127666667,623.1666666666666,55,15.311057324847337,67.99092916133448,0.18171638461927783,12.433015578140273,"[0,100]"
513008.83980887674,7541885.598505598,NA,2.345156302601663,1.3191504202134354,2021-01-08T08:49:21Z,00:00:57,15.311093,67.990911,623.1,56,15.311093,67.990911,623.1,56,15.3110598398832,67.99092807802785,0.17347995187367293,12.606495530013945,"[0,100]"
513008.9417911217,7541885.486301227,NA,2.356934324182566,1.3257755573526937,2021-01-08T08:49:22Z,00:00:59,15.31109783,67.99091133,623.1,57,15.31109783,67.99091133,623.1,57,15.311062264874629,67.99092706703992,0.15162519301601116,12.758120723029956,"[0,100]"
513009.0403297043,7541885.381888926,NA,2.368712345763469,1.3324006944919513,2021-01-08T08:49:23Z,NA,NA,NA,NA,NA,15.31109608,67.99091108,623.05,58,15.31106460846232,67.99092612609608,0.15202559249882558,12.91014631552878,"[0,100]"
513009.1357872599,7541885.285016919,NA,2.380490367344372,1.3390258316312091,2021-01-08T08:49:24Z,00:01:01,15.31109433,67.99091083,623,59,15.31109433,67.99091083,623,59,15.31106687928697,67.99092525292173,0.14490110677277004,13.05504742230155,"[0,100]"
513009.2285264244,7541885.195433427,[60.462189],2.392268388925275,1.3456509687704672,2021-01-08T08:49:25Z,NA,NA,NA,NA,NA,15.311092165,67.99091475,623,60,15.311069085989285,67.99092444524226,0.1289408959586376,13.183988318260187,"[0,100]"
513009.3189098336,7541885.112886676,NA,2.3635861509326244,1.329517209899601,2021-01-08T08:49:26Z,00:01:05,15.31109,67.99091867,623,61,15.31109,67.99091867,623,61,15.311071237209958,67.99092370078307,0.12240558307287744,13.306393901333063,"[0,100]"
513009.40730012336,7541885.037124883,NA,2.3349039129399736,1.313383451028735,2021-01-08T08:49:27Z,NA,NA,NA,NA,NA,15.311086415,67.990921,623.05,62,15.311073341589696,67.99092301726954,0.1266992205445352,13.4330931218776,"[0,100]"
513009.49405993,7541884.967896282,NA,2.3062216749473228,1.2972496921578691,2021-01-08T08:49:28Z,00:01:07,15.31108283,67.99092333,623.1,63,15.31108283,67.99092333,623.1,63,15.311075407769197,67.99092239242708,0.12173686105088932,13.55482998292849,"[0,100]"
513009.5795518892,7541884.904949092,NA,2.277539436954672,1.281115933287003,2021-01-08T08:49:29Z,NA,NA,NA,NA,NA,15.311079165,67.99092583000001,623.1,64,15.31107744438915,67.99092182398111,0.1061660197157423,13.660996002644232,"[0,100]"
513009.6641386379,7541884.848031533,NA,2.248857198962021,1.264982174416137,2021-01-08T08:49:30Z,00:01:09,15.3110755,67.99092833,623.1,65,15.3110755,67.99092833,623.1,65,15.311079460090273,67.99092130965695,0.10195355126242836,13.76294955390666,"[0,100]"
513009.7481828113,7541884.796891834,NA,2.2201749609693704,1.2488484155452708,2021-01-08T08:49:31Z,NA,NA,NA,NA,NA,15.311072056666664,67.99092927666666,623.1333333333333,66,15.311081463513244,67.99092084718009,0.10387397672486053,13.86682353063152,"[0,100]"
513009.8320470469,7541884.751278214,NA,2.1914927229767196,1.2327146566744047,2021-01-08T08:49:32Z,NA,NA,NA,NA,NA,15.311068613333331,67.99093022333334,623.1666666666667,67,15.31108346329878,67.99092043427586,0.10111836336391608,13.967941893995436,"[0,100]"
513009.9160722352,7541884.710960441,NA,2.162810484984069,1.2165808978035388,2021-01-08T08:49:33Z,00:01:10,15.31106517,67.99093117,623.2,68,15.31106517,67.99093117,623.2,68,15.311085467570209,67.99092006886386,0.09897911996508953,14.066921013960528,"[0,100]"
513010.0005122824,7541884.675794445,NA,2.134128246991418,1.2004471389326727,2021-01-08T08:49:34Z,00:01:12,15.31106283,67.99092533,623.4,69,15.31106283,67.99092533,623.4,69,15.31108748238135,67.99091974964045,0.2199244617324945,14.28684547569302,"[0,100]"
513010.0855993496,7541884.645657697,[70.154887],2.105446008998767,1.1843133800618066,2021-01-08T08:49:35Z,NA,NA,NA,NA,NA,15.311059915,67.99092541499999,623.3499999999999,70,15.311089513268664,67.99091947549614,0.10318930467987276,14.390034780372892,"[0,100]"
513010.1715655985,7541884.620427665,NA,2.1171467053257236,1.1908950217457197,2021-01-08T08:49:36Z,00:01:14,15.311057,67.9909255,623.3,71,15.311057,67.9909255,623.3,71,15.311091565768622,67.99091924532145,0.10259995338213716,14.49263473375503,"[0,100]"
513010.2586431896,7541884.599981829,NA,2.1288474016526804,1.1974766634296328,2021-01-08T08:49:37Z,NA,NA,NA,NA,NA,15.311060335,67.990923835,623.25,72,15.311093645417673,67.99091905800697,0.1024721381682497,14.59510687192328,"[0,100]"
513010.34706428385,7541884.584197648,NA,2.1405480979796367,1.2040583051135456,2021-01-08T08:49:38Z,00:01:16,15.31106367,67.99092217,623.2,73,15.31106367,67.99092217,623.2,73,15.311095757752277,67.99091891244316,0.10279800716186688,14.697904879085147,"[0,100]"
513010.43706104264,7541884.572952604,NA,2.152248794306593,1.210639946797459,2021-01-08T08:49:39Z,NA,NA,NA,NA,NA,15.31106475,67.99092200000001,623.1500000000001,74,15.311097908308898,67.9909188075206,0.10356576464324356,14.801470643728392,"[0,100]"
513010.5288656269,7541884.566124164,NA,2.1639494906335495,1.2172215884813715,2021-01-08T08:49:40Z,00:01:18,15.31106583,67.99092183,623.1,75,15.31106583,67.99092183,623.1,75,15.31110010262399,67.99091874212981,0.10476024669682484,14.906230890425215,"[0,100]"
513010.6227101976,7541884.5635897955,NA,2.1756501869605063,1.2238032301652848,2021-01-08T08:49:41Z,NA,NA,NA,NA,NA,15.31106725,67.99092175000001,623.1500000000001,76,15.311102346234014,67.9909187151613,0.1063636520087288,15.012594542433945,"[0,100]"
513010.718826916,7541884.565226975,NA,2.187350883287462,1.230384871849198,2021-01-08T08:49:42Z,00:01:20,15.31106867,67.99092167,623.2,77,15.31106867,67.99092167,623.2,77,15.311104644675432,67.99091872550562,0.1083563746066431,15.120950917040588,"[0,100]"
513010.81744794303,7541884.570913173,NA,2.199051579614419,1.2369665135331107,2021-01-08T08:49:43Z,NA,NA,NA,NA,NA,15.31107117,67.99092289000001,623.2,78,15.3111070034847,67.9909187720533,0.09878481574784816,15.219735732788436,"[0,100]"
513010.9187411541,7541884.580548574,NA,2.210752275941376,1.2435481552170238,2021-01-08T08:49:44Z,NA,NA,NA,NA,NA,15.31107367,67.99092411,623.2,79,15.31110942666388,67.99091885390152,0.10175045727497414,15.32148619006341,"[0,100]"
513011.0226172824,7541884.594124232,[80.102515],2.222452972268332,1.2501297969009368,2021-01-08T08:49:45Z,00:01:22,15.31107617,67.99092533,623.2,80,15.31107617,67.99092533,623.2,80,15.311111912077449,67.99091897097401,0.1047594794367108,15.42624566950012,"[0,100]"
513011.12892277486,7541884.611653904,NA,2.27310271510232,1.2786202772450552,2021-01-08T08:49:46Z,NA,NA,NA,NA,NA,15.311080835,67.9909265,623.2,81,15.311114456055472,67.99091912340113,0.1077411114445512,15.533986780944671,"[0,100]"
