X,Y,laser_frames,width,height,datetime,videotime,lon,lat,depth,elapsed_seconds,LON2,LAT2,depth_interpolated,videotime_interpolated,xsmoothed,ysmoothed,distance_3d,distance_travelled
-577106.5023556894,897240.5098633292,NA,3.865948377377194,2.1745959622746716,2021-01-07T10:00:29Z,00:29:25,5.27133983,8.00108567,205.4,1762,5.27133983,8.00108567,205.4,1762,5.271343893443393,8.001098108920168,0.11565537294330239,229.51159603404886
-577106.5606810243,897240.5080999277,NA,3.9451142148990743,2.219126745880729,2021-01-07T10:00:30Z,NA,NA,NA,NA,NA,5.271343164999999,8.00108642,205.3,1763,5.271343372207586,8.001098080789587,0.11577976627331857,229.6273758003222
-577106.6193210115,897240.5072188269,NA,4.024280052420954,2.2636575294867867,2021-01-07T10:00:31Z,00:29:27,5.2713465,8.00108717,205.2,1764,5.2713465,8.00108717,205.2,1764,5.271342847969459,8.001098060457435,0.11592853156251325,229.7433043318847
-577106.6783083277,897240.5071948179,NA,4.103445889942835,2.3081883130928444,2021-01-07T10:00:32Z,NA,NA,NA,NA,NA,5.2713498350000005,8.00108767,205.1,1765,5.271342320442163,8.001098047692025,0.11610126635859763,229.85940559824328
-577106.7376756484,897240.5080026886,NA,4.182611727464715,2.352719096698902,2021-01-07T10:00:33Z,00:29:29,5.27135317,8.00108817,205,1766,5.27135317,8.00108817,205,1766,5.2713417893388534,8.0010980422616509,0.11629759854011702,229.9757031967834
-577106.79745565,897240.5096172293,NA,4.261777564986595,2.397249880304959,2021-01-07T10:00:34Z,NA,NA,NA,NA,NA,5.27135667,8.001090585,204.9,1767,5.271341254372684,8.001098043934618,0.11651718902283917,230.09222038580626
-577106.857681009,897240.5120132281,NA,4.340943402508475,2.441780663911017,2021-01-07T10:00:35Z,00:29:31,5.27136017,8.001093,204.8,1768,5.27136017,8.001093,204.8,1768,5.271340715256808,8.001098052479229,0.11675973050959115,230.20898011631584
-577106.9183844014,897240.5151654751,NA,4.420109240030355,2.4863114475170747,2021-01-07T10:00:36Z,NA,NA,NA,NA,NA,5.27136367,8.0010945,204.7,1769,5.271340171704377,8.001098067663788,0.11702494822212138,230.32600506453795
-577106.9795771148,897240.519041569,[1770.675719],4.499275077552235,2.530842231123132,2021-01-07T10:00:37Z,00:29:33,5.27136717,8.001096,204.6,1770,5.27136717,8.001096,204.6,1770,5.271339623621359,8.001098089197049,0.11730120324456396,230.44330626778253
-577107.0411848866,897240.52358035,NA,4.446017702645119,2.5008849577378793,2021-01-07T10:00:38Z,NA,NA,NA,NA,NA,5.271372335000001,8.001097415,204.5,1771,5.271339071684962,8.001098116549596,0.11754198431828224,230.5608482521008
-577107.1031120631,897240.5287134678,NA,4.392760327738003,2.4709276843526267,2021-01-07T10:00:39Z,00:29:34,5.2713775,8.00109883,204.4,1772,5.2713775,8.00109883,204.4,1772,5.271338516765205,8.001098149132467,0.11773412459078945,230.6785823766916
-577107.1652629944,897240.5343725724,NA,4.3395029528308875,2.440970410967374,2021-01-07T10:00:40Z,NA,NA,NA,NA,NA,5.271371085,8.001098500000001,204.25,1773,5.271337959732106,8.001098186356701,0.1624646537467716,230.84104703043838
-577107.2275420264,897240.5404893141,NA,4.286245577923771,2.4110131375821213,2021-01-07T10:00:41Z,00:29:36,5.27136467,8.00109817,204.1,1774,5.27136467,8.00109817,204.1,1774,5.271337401455687,8.001098227633333,0.16253028137976097,231.00357731181813
-577107.2898535088,897240.5469953418,NA,4.232988203016656,2.3810558641968687,2021-01-07T10:00:42Z,NA,NA,NA,NA,NA,5.2713582500000005,8.001098670000001,204,1775,5.271336842805967,8.0010982723734,0.11800444581705502,231.1215817576352
-577107.3521017891,897240.5538223061,NA,4.17973082810954,2.3510985908116164,2021-01-07T10:00:43Z,00:29:40,5.27135183,8.00109917,203.9,1776,5.27135183,8.00109917,203.9,1776,5.271336284652966,8.00109831998794,0.11798921916293648,231.23957097679812
-577107.4141912151,897240.5609018567,NA,4.126473453202424,2.321141317426364,2021-01-07T10:00:44Z,NA,NA,NA,NA,NA,5.27135625,8.00110025,203.75,1777,5.271335727866702,8.001098369887995,0.16249682106293858,231.40206779786106
-577107.4760261357,897240.5681656433,NA,4.073216078295308,2.291184044041111,2021-01-07T10:00:45Z,00:29:42,5.27136067,8.00110133,203.6,1778,5.27136067,8.00110133,203.6,1778,5.271335173317195,8.001098421484597,0.16240788160644487,231.5644756794675
-577107.5375108984,897240.575545316,NA,4.019958703388192,2.2612267706558584,2021-01-07T10:00:46Z,NA,NA,NA,NA,NA,5.27136692,8.00110258,203.45,1779,5.271334621874466,8.001098474188787,0.16228011465921438,231.72675579412672
-577107.598549851,897240.5829725249,[1780.141152],3.9667013284810766,2.2312694972706058,2021-01-07T10:00:47Z,00:29:44,5.27137317,8.00110383,203.3,1780,5.27137317,8.00110383,203.3,1780,5.271334074408534,8.001098527411598,0.1621139018143882,231.8888696959411
-577107.6590473424,897240.59037892,NA,3.953307087560963,2.223735236753042,2021-01-07T10:00:48Z,NA,NA,NA,NA,NA,5.271368750000001,8.001104,203.2,1781,5.27133353178942,8.001098580564076,0.1171102094258549,232.00597990536696
-577107.71890772,897240.5976961498,NA,3.9399128466408504,2.2162009762354784,2021-01-07T10:00:49Z,00:29:46,5.27136433,8.00110417,203.1,1782,5.27136433,8.00110417,203.1,1782,5.271332994887142,8.001098633057246,0.11677673850611849,232.1227566438731
-577107.7780353318,897240.6048558663,NA,3.9265186057207377,2.208666715717915,2021-01-07T10:00:50Z,NA,NA,NA,NA,NA,5.2713617500000005,8.001104,202.95,1783,5.27133246457172,8.001098684302159,0.16139187097742994,232.28414851485053
-577107.8363345268,897240.6117897179,NA,3.9131243648006246,2.2011324552003515,2021-01-07T10:00:51Z,00:29:47,5.27135917,8.00110383,202.8,1784,5.27135917,8.00110383,202.8,1784,5.271331941713171,8.001098733709844,0.1610803353566377,232.44522885020714
-577107.8937096514,897240.6184293546,NA,3.899730123880511,2.193598194682788,2021-01-07T10:00:52Z,NA,NA,NA,NA,NA,5.271351920000001,8.001102665000001,202.75,1785,5.27133142718152,8.00109878069134,0.076393649636682,232.52162249984383
-577107.9500650554,897240.6247064262,NA,3.8863358829603984,2.186063934165224,2021-01-07T10:00:53Z,00:29:49,5.27134467,8.0011015,202.7,1786,5.27134467,8.0011015,202.7,1786,5.2713309218467845,8.001098824657683,0.0755998226432931,232.59722232248714
-577108.0052933961,897240.6305574059,NA,3.872941642040286,2.178529673647661,2021-01-07T10:00:54Z,NA,NA,NA,NA,NA,5.271337585,8.001101415,202.6,1787,5.271330426682501,8.00109886506539,0.11438707784087156,232.711609400328
-577108.0592405696,897240.6359380509,NA,3.8595474011201727,2.1709954131300973,2021-01-07T10:00:55Z,00:29:51,5.2713305,8.00110133,202.5,1788,5.2713305,8.00110133,202.5,1788,5.2713299430762826,8.001098901552858,0.11375081921638401,232.8253602195444
-577108.1117407829,897240.6408089447,[1789.817843],3.846153160200059,2.1634611526125336,2021-01-07T10:00:56Z,NA,NA,NA,NA,NA,5.271324165,8.001100665,202.4,1789,5.271329472519259,8.001098933803966,0.11304865323816293,232.93840887278256
-577108.1626282427,897240.6451306669,NA,3.8961689692464625,2.1915950452011352,2021-01-07T10:00:57Z,00:29:53,5.27131783,8.0011,202.3,1790,5.27131783,8.0011,202.3,1790,5.271329016502562,8.001098961502583,0.11228628970942985,233.05069516249196
-577108.211737155,897240.6488638005,NA,3.946184778292866,2.219728937789737,2021-01-07T10:00:58Z,NA,NA,NA,NA,NA,5.271313915,8.001100085000001,202.25,1791,5.271328576517322,8.001098984332593,0.07018277243874119,233.12087793493072
-577108.2589017267,897240.6519689251,NA,3.9962005873392688,2.247862830378339,2021-01-07T10:00:59Z,00:29:55,5.27131,8.00110017,202.2,1792,5.27131,8.00110017,202.2,1792,5.271328154054668,8.001099001977865,0.06880507701765194,233.18968301194838
-577108.303956164,897240.6544066236,NA,4.046216396385672,2.2759967229669407,2021-01-07T10:01:00Z,NA,NA,NA,NA,NA,5.271307165,8.001101250000001,202.05,1793,5.271327750605732,8.001099014122278,0.1566392182673212,233.3463222302157
-577108.346734674,897240.6561374764,NA,4.0962322054320754,2.3041306155555423,2021-01-07T10:01:01Z,00:29:57,5.27130433,8.00110233,201.9,1794,5.27130433,8.00110233,201.9,1794,5.271327367661643,8.001099020449708,0.15599037393731807,233.50231260415302
-577108.3870714626,897240.6571220653,NA,4.146248014478478,2.332264508144144,2021-01-07T10:01:02Z,NA,NA,NA,NA,NA,5.2712995,8.00110308,201.8,1795,5.271327006713531,8.001099020644029,0.10783332477663853,233.61014592892965
-577108.4248007361,897240.6573209711,NA,4.196263823524881,2.3603984007327456,2021-01-07T10:01:03Z,00:29:59,5.27129467,8.00110383,201.7,1796,5.27129467,8.00110383,201.7,1796,5.27132666925253,8.001099014389116,0.10688095081050357,233.71702687974016
-577108.459756702,897240.6566947761,NA,4.246279632571285,2.3885322933213473,2021-01-07T10:01:04Z,NA,NA,NA,NA,NA,5.27129417,8.00110575,201.5,1797,5.271326356769767,8.001099001368845,0.20303278470881997,233.92005966444896
-577108.4917735658,897240.6552040607,NA,4.296295441617688,2.4166661859099494,2021-01-07T10:01:05Z,00:30:00,5.27129367,8.00110767,201.3,1798,5.27129367,8.00110767,201.3,1798,5.271326070756372,8.00109898126709,0.20255197308576212,234.12261163753473
-577108.520685534,897240.6528094065,NA,4.34631125066409,2.444800078498551,2021-01-07T10:01:06Z,NA,NA,NA,NA,NA,5.2712905,8.0011085,201.2,1799,5.27132581270348,8.00109895376773,0.10412317837809906,234.22673481591283
-577108.546326814,897240.6494713954,[1800.575587],4.396327059710494,2.4729339710871527,2021-01-07T10:01:07Z,00:30:02,5.27128733,8.00110933,201.1,1800,5.27128733,8.00110933,201.1,1800,5.2713255841022155,8.00109891855464,0.10328900017813596,234.33002381609097
-577108.5685316115,897240.6451506078,NA,4.403683045654473,2.4770717131806412,2021-01-07T10:01:08Z,NA,NA,NA,NA,NA,5.27129775,8.001110579999999,201.05,1801,5.271325386443713,8.00109887531169,0.05487916031459793,234.38490297640556
-577108.5871341333,897240.6398076263,NA,4.411039031598452,2.4812094552741293,2021-01-07T10:01:09Z,00:30:06,5.27130817,8.00111183,201,1802,5.27130817,8.00111183,201,1802,5.271325221219101,8.001098823722762,0.053615308180065616,234.43851828458563
-577108.6019685862,897240.6334030314,NA,4.418395017542431,2.4853471973676173,2021-01-07T10:01:10Z,NA,NA,NA,NA,NA,5.271308585,8.00111175,200.9,1803,5.27132508991951,8.001098763471731,0.10129698824667241,234.5398152728323
-577108.6128691765,897240.6258974045,NA,4.42575100348641,2.489484939461106,2021-01-07T10:01:11Z,00:30:08,5.271309,8.00111167,200.8,1804,5.271309,8.00111167,200.8,1804,5.271324994036072,8.00109869424247,0.10087198473601706,234.64068725756832
-577108.6197107194,897240.6172636931,NA,4.433106989430389,2.4936226815545943,2021-01-07T10:01:12Z,NA,NA,NA,NA,NA,5.271301915,8.00111067,200.85,1805,5.271324934694101,8.001098615820455,0.05119909844256938,234.69188635601088
-577108.6225304687,897240.6075243101,NA,4.440462975374368,2.4977604236480824,2021-01-07T10:01:13Z,00:30:10,5.27129483,8.00110967,200.9,1806,5.27129483,8.00110967,200.9,1806,5.271324911555649,8.001098528397558,0.05101770837117368,234.74290406438206
-577108.6214062888,897240.5967140341,NA,4.447818961318347,2.5018981657415704,2021-01-07T10:01:14Z,NA,NA,NA,NA,NA,5.271296165000001,8.00110967,200.85,1807,5.271324923916946,8.00109843226725,0.05116762500150674,234.79407168938357
-577108.6164160415,897240.5848676447,NA,4.455174947262327,2.506035907835059,2021-01-07T10:01:15Z,00:30:12,5.2712975,8.00110967,200.8,1808,5.2712975,8.00110967,200.8,1808,5.271324971074233,8.00109832772301,0.05162595771287763,234.84569764709644
-577108.60763759,897240.5720199198,NA,4.462530933206305,2.5101736499285474,2021-01-07T10:01:16Z,NA,NA,NA,NA,NA,5.2713001649999995,8.00111025,200.65,1809,5.271325052323745,8.001098215058304,0.1508049244778951,234.99650257157435
-577108.5951487967,897240.5582056384,[1810.375323],4.469886919150285,2.5143113920220355,2021-01-07T10:01:17Z,00:30:13,5.27130283,8.00111083,200.5,1810,5.27130283,8.00111083,200.5,1810,5.2713251669617165,8.001098094566606,0.15115159386451693,235.14765416543887
-577108.5790275261,897240.5434595793,NA,4.420101839520081,2.486307284730046,2021-01-07T10:01:18Z,NA,NA,NA,NA,NA,5.271297414999999,8.001108915,200.3,1811,5.27132531428438,8.001097966541385,0.20118981491172025,235.34884398035058
-577108.55935164,897240.5278165217,NA,4.370316759889876,2.4583031774380557,2021-01-07T10:01:19Z,00:30:15,5.271292,8.001107,200.1,1812,5.271292,8.001107,200.1,1812,5.271325493587974,8.001097831276121,0.20157342519147842,235.55041740554205
-577108.5361990028,897240.5113112449,NA,4.3205316802596725,2.430299070146066,2021-01-07T10:01:20Z,NA,NA,NA,NA,NA,5.271288835,8.001106,200,1813,5.271325704168732,8.001097689064283,0.103963785884599,235.65438119142667
-577108.509647476,897240.4939785266,NA,4.270746600629469,2.4022949628540764,2021-01-07T10:01:21Z,00:30:17,5.27128567,8.001105,199.9,1814,5.27128567,8.001105,199.9,1814,5.271325945322891,8.00109754019934,0.10490665707106442,235.75928784849773
-577108.4797749228,897240.4758531466,NA,4.220961520999264,2.3742908555620863,2021-01-07T10:01:22Z,NA,NA,NA,NA,NA,5.271288670000001,8.001104085000001,199.85,1815,5.271326216346685,8.001097384974768,0.06099917074422438,235.82028701924196
-577108.4466592073,897240.4569698827,NA,4.17117644136906,2.3462867482700966,2021-01-07T10:01:23Z,00:30:19,5.27129167,8.00110317,199.8,1816,5.27129167,8.00110317,199.8,1816,5.27132651653635,8.001097223684035,0.06287470293110047,235.88316172217304
-577108.4103781919,897240.4373635148,NA,4.121391361738857,2.318282640978107,2021-01-07T10:01:24Z,NA,NA,NA,NA,NA,5.27129242,8.001102335,199.7,1817,5.27132684518812,8.00109705662062,0.10816987449376272,235.9913315966668
-577108.3710097396,897240.4170688215,NA,4.071606282108653,2.2902785336861173,2021-01-07T10:01:25Z,00:30:21,5.27129317,8.0011015,199.6,1818,5.27129317,8.0011015,199.6,1818,5.271327201598233,8.00109688407799,0.10936978380857214,236.10070138047539
-577108.3286317135,897240.3961205811,NA,4.021821202478448,2.2622744263941272,2021-01-07T10:01:26Z,NA,NA,NA,NA,NA,5.27129417,8.0011005,199.6,1819,5.271327585062919,8.00109670634962,0.04727288725450589,236.1479742677299
-577108.2833219762,897240.3745535729,[1820.920169],3.9720361228482446,2.2342703191021376,2021-01-07T10:01:27Z,00:30:23,5.27129517,8.0010995,199.6,1820,5.27129517,8.0010995,199.6,1820,5.27132799487842,8.00109652372898,0.050180754679682964,236.19815502240957
-577108.2351583918,897240.352402576,NA,3.965839350876853,2.23078463486823,2021-01-07T10:01:28Z,NA,NA,NA,NA,NA,5.27130175,8.001100000000001,199.6,1821,5.271328430340965,8.001096336509546,0.05301318257256105,236.25116820498212
-577108.1842188225,897240.3297023686,NA,3.9596425789054623,2.2272989506343226,2021-01-07T10:01:29Z,00:30:25,5.27130833,8.0011005,199.6,1822,5.27130833,8.0011005,199.6,1822,5.271328890746796,8.001096144984785,0.05576862139643145,236.30693682637857
-577108.1305907839,897240.3064950489,NA,3.953445806934071,2.223813266400415,2021-01-07T10:01:30Z,NA,NA,NA,NA,NA,5.27131858,8.001101835,199.55,1823,5.271329375304255,8.001095949511367,0.0769060869622257,236.3838429133408
-577108.0744004031,897240.2828519883,NA,3.94724903496268,2.2203275821665076,2021-01-07T10:01:31Z,00:30:26,5.27132883,8.00110317,199.5,1824,5.27132883,8.00110317,199.5,1824,5.271329882870143,8.001095750698697,0.0788438533518978,236.46268676669268
-577108.0157834582,897240.2588518773,NA,3.941052262991288,2.2168418979326,2021-01-07T10:01:32Z,NA,NA,NA,NA,NA,5.2713459149999995,8.00110392,199.45,1825,5.271330412213369,8.001095549219384,0.08069666380931989,236.54338343050202
-577107.9548757286,897240.234573406,NA,3.9348554910198974,2.213356213698692,2021-01-07T10:01:33Z,00:30:30,5.271363,8.00110467,199.4,1826,5.271363,8.00110467,199.4,1826,5.271330962102849,8.001095345746034,0.08245723557963237,236.62584066608164
-577107.891812993,897240.2100952653,NA,3.928658719048506,2.209870529464785,2021-01-07T10:01:34Z,NA,NA,NA,NA,NA,5.271361335,8.001102750000001,199.45,1827,5.2713315313074895,8.001095140951248,0.08411948642327727,236.70996015250492
-577107.8267310311,897240.1854961461,NA,3.9224619470771143,2.206384845230877,2021-01-07T10:01:35Z,00:30:32,5.27135967,8.00110083,199.5,1828,5.27135967,8.00110083,199.5,1828,5.271332118596202,8.001094935507632,0.08567834284629414,236.7956384953512
-577107.7597656206,897240.1608547383,NA,3.916265175105724,2.20289916099697,2021-01-07T10:01:36Z,NA,NA,NA,NA,NA,5.271357835,8.00109883,199.55,1829,5.2713327227379,8.001094730087795,0.08712958842112097,236.88276808377233
-577107.6910525414,897240.136249732,[1830.136106],3.910068403134333,2.199413476763062,2021-01-07T10:01:37Z,00:30:34,5.271356,8.00109683,199.6,1830,5.271356,8.00109683,199.6,1830,5.271333342501493,8.001094525364332,0.0884697326236297,236.97123781639596
-577107.6207275719,897240.1117598184,NA,3.860007182484455,2.171254040147506,2021-01-07T10:01:38Z,NA,NA,NA,NA,NA,5.271351915,8.001095,199.6,1831,5.271333976655892,8.001094322009852,0.0744671551778382,237.0457049715738
-577107.5489264918,897240.087463687,NA,3.8099459618345777,2.1430946035319502,2021-01-07T10:01:39Z,00:30:36,5.27134783,8.00109317,199.6,1832,5.27134783,8.00109317,199.6,1832,5.271334623970008,8.001094120696958,0.07580037669071926,237.12150534826452
-577107.4757850796,897240.0634400293,NA,3.7598847411847,2.114935166916394,2021-01-07T10:01:40Z,NA,NA,NA,NA,NA,5.27134458,8.00109192,199.6,1833,5.271335283212753,8.001093922098255,0.07698572789012964,237.19849107615465
-577107.4014391142,897240.0397675349,NA,3.709823520534823,2.086775730300838,2021-01-07T10:01:41Z,00:30:38,5.27134133,8.00109067,199.6,1834,5.27134133,8.00109067,199.6,1834,5.271335953153038,8.001093726886346,0.07802377560772049,237.27651485176236
-577107.3260243742,897240.0165248951,NA,3.6597622998849455,2.058616293685282,2021-01-07T10:01:42Z,NA,NA,NA,NA,NA,5.2713415,8.001089835,199.55,1835,5.271336632559772,8.00109353573384,0.09342164266587374,237.36993649442823
-577107.2496766394,897239.9937907994,NA,3.609701079235068,2.030456857069726,2021-01-07T10:01:43Z,00:30:39,5.27134167,8.001089,199.5,1836,5.27134167,8.001089,199.5,1836,5.2713373202018685,8.001093349313335,0.09405219674639943,237.46398869117465
