bin,Actiniaria free stet.,Asteroidea stet.,Bathyplotes stet.,Bonelliidae stet.,Caridea stet.,Cerianthidae stet.,Crustacea stet.,Fauna,G-undeterminable,G0,G5,G6,Holothuroidea stet.,Isidella stet.,Laser points,Mesothuria stet.,Mud,Munida stet.,Octocorallia - Gorgonacea stet.,Pandalidae stet.,Parastichopus stet.,Pennatuloidea stet.,Pisces,Pleuronectidae stet.,Unsegmented worms,associated caridea stet.,associated munida stet.,associated pandalidae stet.,flat,high confidence,marine litter,medium confidence,mucus undeterminable,polyps undeterminable,spare coral associated fauna,unidentified fauna
"All(0,500]",2,12,24,9,71,4,115,5,671,20,2,7,48,2142,362,7,60,371,118,2,7,99,6,4,2,54,22,2,60,2,1,26,699,698,26,279
"[0,100]",2,11,18,7,45,4,89,5,538,20,1,6,35,569,106,6,18,300,86,2,6,25,6,4,1,31,20,2,18,1,1,25,565,564,23,176
"(100,200]",0,1,6,2,26,0,26,0,133,0,1,1,13,530,92,1,14,71,22,0,1,25,0,0,1,23,2,0,14,1,0,1,134,134,3,66
"(200,300]",0,0,0,0,0,0,0,0,0,0,0,0,0,551,84,0,14,0,8,0,0,18,0,0,0,0,0,0,14,0,0,0,0,0,0,13
"(300,400]",0,0,0,0,0,0,0,0,0,0,0,0,0,468,74,0,13,0,2,0,0,31,0,0,0,0,0,0,13,0,0,0,0,0,0,22
"(400,500]",0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
