Acesta stet.,Actiniaria free stet.,Arthropoda stet.,Bonelliidae stet.,Brachyura stet.,Cancer pagurus stet.,Caridea stet.,Coral rubble,Dead D.pertusum framework,Desmophyllum pertusum,Echinoidea stet.,Echinus stet.,Fauna,Gadidae stet.,Holothuroidea stet.,Laser points,Mud,Munida stet.,No observation,Parastichopus stet.,Pisces,S3,S5,Sand,Sebastes stet.,Shellsand,Very coarse sediment with mud,flat,high confidence,medium confidence,mucus absent,mucus undeterminable,polyps extended,polyps undeterminable,steep,Anthothela grandiflora,Asteroidea stet.,Bedrock with sediment cover,Bivalvia stet.,Exposed bedrock,G-undeterminable,Gorgonian spare,Living D.pertusum framework,Porifera massive,Porifera stet.,Primnoa stet.,S-undeterminable,S1,near-vertical,spare coral associated fauna,Crinoidea stet.,G0,G3,Gastropoda stet.,Hydrozoa stet.,Paragorgia stet.,Porifera fan/funnel/stalk/cup,VME Porifera fan/stalk/cup/funnel <10 cm,moderate,Caridea spp. stet.,Serpulidae stet.,Sp-undeterminable,polyps retracted,overhang,Hippasteria stet.,Sp0,Lotidae stet.,Ophiuroidea stet.,marine litter,Sabellidae stet.,Sp1,bin
0.007333365896582901,0.007857177746338822,0.008380989596094745,0.0041904947980473724,5.238118497559216e-4,0.0013095296243898038,0.011523860694630274,0.0023571533239016467,0.004714306647803293,0.007595271821460862,0.005238118497559215,0.004714306647803293,0.28128696331892983,0.0020952473990236862,5.238118497559216e-4,0.18700083036286397,2.619059248779608e-4,5.238118497559216e-4,7.857177746338822e-4,2.619059248779608e-4,0.019381038440969094,0.0013095296243898038,2.619059248779608e-4,0.0041904947980473724,0.0010476236995118431,0.003928588873169411,0.0018333414741457253,0.0018333414741457253,0.0018333414741457253,0.005761930347315137,2.619059248779608e-4,0.020166756215602977,7.857177746338822e-4,0.019119132516091136,0.006547648121949019,0.0013095296243898038,0.0026190592487796076,0.015190543642921724,0.00680955404682698,0.011523860694630274,0.00995242514536251,0.015452449567799684,0.0020952473990236862,0.005500024422437176,2.619059248779608e-4,0.01047623699511843,0.004976212572681255,0.0010476236995118431,0.022523909539504623,0.00340477702341349,7.857177746338822e-4,0.0020952473990236862,7.857177746338822e-4,2.619059248779608e-4,0.0013095296243898038,0.0041904947980473724,0.02750012211218588,0.03980970058145004,5.238118497559216e-4,2.619059248779608e-4,0.004976212572681255,0.0010476236995118431,5.238118497559216e-4,0.0010476236995118431,2.619059248779608e-4,2.619059248779608e-4,2.619059248779608e-4,2.619059248779608e-4,5.238118497559216e-4,2.619059248779608e-4,2.619059248779608e-4,"All(0,800]"
0.09473790836961608,0.011145636278778364,0.011145636278778364,0.06687381767267019,0.011145636278778364,0.011145636278778364,0.10588354464839446,0.044582545115113455,0.016718454418167546,0.03343690883633509,0.005572818139389182,0.005572818139389182,0.21176708929678892,0.005572818139389182,0.005572818139389182,0.2786409069694591,0.005572818139389182,0.011145636278778364,0.005572818139389182,0.005572818139389182,0.005572818139389182,0.02786409069694591,0.005572818139389182,0.005572818139389182,0.005572818139389182,0.044582545115113455,0.011145636278778364,0.039009726975724274,0.022291272557556727,0.022291272557556727,0.005572818139389182,0.02786409069694591,0.005572818139389182,0.02786409069694591,0.005572818139389182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0,50]"
0.040793037902224244,0.00741691598222259,0.011125373973333885,0,0,0.003708457991111295,0.01483383196444518,0.003708457991111295,0.055626869866669426,0.08529453379555979,0.003708457991111295,0,0.15946369361778567,0,0.003708457991111295,0.2670089753600132,0,0,0,0,0.01483383196444518,0,0,0,0.003708457991111295,0,0.003708457991111295,0,0,0.01483383196444518,0,0.12237911370667273,0,0.12237911370667273,0.003708457991111295,0.00741691598222259,0.003708457991111295,0.00741691598222259,0.09641990776889367,0.02966766392889036,0.03708457991111295,0.08900299178667108,0.02966766392889036,0.02225074794666777,0.003708457991111295,0.02966766392889036,0.07046070183111461,0.01483383196444518,0.040793037902224244,0.03337612192000165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(50,100]"
0,0.038608676495144226,0.11031050427184065,0.005515525213592032,0,0,0.09376392863106454,0,0,0,0.011031050427184065,0.027577626067960163,0.9266082358834614,0,0,0.5294904205048351,0,0,0.005515525213592032,0,0.005515525213592032,0,0,0,0,0,0,0,0.005515525213592032,0.011031050427184065,0,0.038608676495144226,0,0.038608676495144226,0,0,0.016546575640776096,0.06067077734951236,0,0.027577626067960163,0.02206210085436813,0.038608676495144226,0,0.011031050427184065,0,0.04963972692232829,0,0,0.08273287820388049,0.011031050427184065,0.011031050427184065,0.011031050427184065,0.005515525213592032,0.005515525213592032,0.02206210085436813,0.011031050427184065,0.038608676495144226,0.09376392863106454,0.005515525213592032,0,0,0,0,0,0,0,0,0,0,0,0,"(100,150]"
0,0.023799680326622424,0.011899840163311212,0.005949920081655606,0,0,0.023799680326622424,0,0,0,0.005949920081655606,0.023799680326622424,1.6540777827002584,0,0,0.5235929671856933,0,0,0,0,0.017849760244966817,0,0,0,0,0,0,0,0,0.04164944057158924,0,0.04759936065324485,0.005949920081655606,0.029749600408278027,0,0.011899840163311212,0.011899840163311212,0.059499200816556054,0,0.029749600408278027,0.029749600408278027,0.13684816187807894,0,0.017849760244966817,0,0.023799680326622424,0,0,0.08924880122483408,0.011899840163311212,0.005949920081655606,0.011899840163311212,0.005949920081655606,0,0,0.035699520489933634,0.1130484815514565,0.14279808195973454,0,0.005949920081655606,0.017849760244966817,0.005949920081655606,0.011899840163311212,0,0,0,0,0,0,0,0,"(150,200]"
0,0.02375464736562285,0.01425278841937371,0.00475092947312457,0,0,0,0,0,0,0.00950185894624914,0.01425278841937371,1.1639777209155198,0,0,0.3990780757424639,0,0,0.00475092947312457,0,0.02375464736562285,0,0,0,0,0,0,0,0.00475092947312457,0.01900371789249828,0,0.08076580104311769,0.00475092947312457,0.07601487156999312,0,0,0.00950185894624914,0.02850557683874742,0,0.03800743578499656,0.05701115367749484,0.00475092947312457,0,0,0,0.08076580104311769,0,0,0.06176208315061941,0,0,0.01900371789249828,0.00475092947312457,0,0.00475092947312457,0.01425278841937371,0.09026765998936682,0.30881041575309703,0,0,0.02375464736562285,0.00950185894624914,0,0.01425278841937371,0,0,0,0,0,0,0,"(200,250]"
0,0.011073190875150659,0,0,0,0,0,0,0,0,0.011073190875150659,0,0.29528509000401754,0.003691063625050219,0,0.18455318125251097,0,0,0,0,0.044292763500602635,0,0,0,0,0,0,0,0,0.003691063625050219,0,0.025837445375351535,0,0.025837445375351535,0,0.003691063625050219,0,0.011073190875150659,0,0.029528509000401753,0.025837445375351535,0.014764254500200876,0,0,0,0.007382127250100438,0,0,0.03321957262545197,0,0,0,0,0,0,0.018455318125251096,0.05167489075070307,0.06643914525090394,0,0,0.003691063625050219,0,0,0.003691063625050219,0.003691063625050219,0.003691063625050219,0,0,0,0,0,"(250,300]"
0,0.0042414415254130155,0,0,0,0.0042414415254130155,0,0,0,0,0.016965766101652062,0.012724324576239046,0.20358919321982474,0.008482883050826031,0,0.20783063474523777,0,0,0,0,0.08907027203367333,0,0,0.0042414415254130155,0.0042414415254130155,0.012724324576239046,0,0,0,0,0,0,0,0,0.012724324576239046,0,0,0.02969009067789111,0,0.0042414415254130155,0,0,0,0,0,0,0,0,0.02120720762706508,0,0,0,0,0,0,0,0.03817297372871714,0.012724324576239046,0.0042414415254130155,0,0,0,0,0,0,0,0.0042414415254130155,0.0042414415254130155,0.0042414415254130155,0,0,"(300,350]"
0,0.0037730143079456094,0.0037730143079456094,0,0,0,0,0,0,0,0.02263808584767366,0.007546028615891219,0.06414124323507536,0,0,0.15092057231782438,0,0,0,0,0.01131904292383683,0,0,0.007546028615891219,0,0,0,0,0,0,0,0,0,0,0.01131904292383683,0,0.0037730143079456094,0.01131904292383683,0,0.0037730143079456094,0,0,0,0.0037730143079456094,0,0,0,0,0.01131904292383683,0,0,0,0,0,0,0,0.007546028615891219,0.007546028615891219,0,0,0.0037730143079456094,0,0,0,0,0,0,0,0.0037730143079456094,0,0,"(350,400]"
0,0.012038122464528369,0,0,0,0,0,0,0,0,0,0,0.040127074881761225,0.004012707488176123,0,0.11235580966893144,0,0,0,0,0.040127074881761225,0,0,0.012038122464528369,0.004012707488176123,0.004012707488176123,0.008025414976352245,0,0,0,0,0,0,0,0.020063537440880613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004012707488176123,0.012038122464528369,0,0,0.008025414976352245,0,0,0,0,0,0,0,0,0,0,"(400,450]"
