Actiniaria free stet.,Asteroidea stet.,Bathyplotes stet.,Bonelliidae stet.,Caridea stet.,Cerianthidae stet.,Crustacea stet.,Fauna,G-undeterminable,G0,G5,G6,Holothuroidea stet.,Isidella stet.,Laser points,Mesothuria stet.,Mud,Munida stet.,Octocorallia - Gorgonacea stet.,Pandalidae stet.,Parastichopus stet.,Pennatuloidea stet.,Pisces,Pleuronectidae stet.,Unsegmented worms,associated caridea stet.,associated munida stet.,associated pandalidae stet.,flat,high confidence,marine litter,medium confidence,mucus undeterminable,polyps undeterminable,spare coral associated fauna,unidentified fauna,bin
0.0013233903237206785,0.007940341942324071,0.015880683884648143,0.005955256456743053,0.04698035649208409,0.002646780647441357,0.07609494361393901,0.0033084758093016964,0.44399745360828763,0.013233903237206785,0.0013233903237206785,0.0046318661330223745,0.031761367769296285,1.4173510367048467,0.2395336485934428,0.0046318661330223745,0.039701709711620355,0.24548890505018586,0.07808002909952003,0.0013233903237206785,0.0046318661330223745,0.06550782102417359,0.003970170971162036,0.002646780647441357,0.0013233903237206785,0.03573153874045832,0.014557293560927463,0.0013233903237206785,0.039701709711620355,0.0013233903237206785,6.616951618603393e-4,0.017204074208368822,0.46252491814037716,0.4618632229785168,0.017204074208368822,0.18461295015903464,"All(0,500]"
0.007482908768135876,0.04115599822474732,0.06734617891322288,0.026190180688475565,0.16836544728305722,0.014965817536271752,0.3329894401820465,0.01870727192033969,2.0129024586285507,0.07482908768135876,0.003741454384067938,0.02244872630440763,0.13095090344237784,2.1288875445346567,0.39659416471120146,0.02244872630440763,0.06734617891322288,1.1224363152203813,0.3217650770298427,0.007482908768135876,0.02244872630440763,0.09353635960169845,0.02244872630440763,0.014965817536271752,0.003741454384067938,0.11598508590610608,0.07482908768135876,0.007482908768135876,0.06734617891322288,0.003741454384067938,0.003741454384067938,0.09353635960169845,2.113921726998385,2.110180272614317,0.08605345083356257,0.6584959715959571,"[0,100]"
0,0.0035999206483667526,0.021599523890200516,0.007199841296733505,0.09359793685753556,0,0.09359793685753556,0,0.4787894462327781,0,0.0035999206483667526,0.0035999206483667526,0.04679896842876778,1.907957943634379,0.33119269964974124,0.0035999206483667526,0.05039888907713454,0.25559436603403946,0.07919825426406855,0,0.0035999206483667526,0.08999801620916882,0,0,0.0035999206483667526,0.08279817491243531,0.007199841296733505,0,0.05039888907713454,0.0035999206483667526,0,0.0035999206483667526,0.48238936688114487,0.48238936688114487,0.010799761945100258,0.23759476279220568,"(100,200]"
0,0,0,0,0,0,0,0,0,0,0,0,0,1.6823780028388058,0.2564786791986564,0,0.042746446533109404,0,0.024426540876062518,0,0,0.05495971697114066,0,0,0,0,0,0,0.042746446533109404,0,0,0,0,0,0,0.03969312892360159,"(200,300]"
0,0,0,0,0,0,0,0,0,0,0,0,0,1.6343382122125232,0.2584209993669374,0,0.04539828367257009,0,0.006984351334241552,0,0,0.10825744568074405,0,0,0,0,0,0,0.04539828367257009,0,0,0,0,0,0,0.07682786467665707,"(300,400]"
0,0,0,0,0,0,0,0,0,0,0,0,0,0.06811539725515822,0.017028849313789556,0,0.0028381415522982594,0,0,0,0,0,0,0,0,0,0,0,0.0028381415522982594,0,0,0,0,0,0,0.005676283104596519,"(400,500]"
