X,Y,laser_frames,width,height,datetime,videotime,lon,lat,depth,elapsed_seconds,LON2,LAT2,depth_interpolated,videotime_interpolated,xsmoothed,ysmoothed,distance_3d,distance_travelled,bin
511890.4238974038,7544162.499007656,[0],4.3853043309677036,2.466733686169334,2021-01-06T11:49:06Z,00:00:02,15.28460617,68.011404,624.9,0,15.28460617,68.011404,624.9,0,15.2845680689003,68.01139840721076,0,0,"[0,50]"
511890.4733200221,7544162.615161631,NA,4.324989587110465,2.4328066427496364,2021-01-06T11:49:07Z,NA,NA,NA,NA,NA,15.284596835,68.01140316499999,624.8499999999999,1,15.284569264493337,68.01139944697782,0.1357731236705262,0.1357731236705262,"[0,50]"
511890.5228687894,7544162.731220722,NA,4.264674843253225,2.398879599329939,2021-01-06T11:49:08Z,00:00:04,15.2845875,68.01140233,624.8,2,15.2845875,68.01140233,624.8,2,15.284570463095044,68.0114004858886,0.1357379568459381,0.27151108051646433,"[0,50]"
511890.5725722579,7544162.847260171,NA,4.204360099395985,2.3649525559102416,2021-01-06T11:49:09Z,NA,NA,NA,NA,NA,15.284577585,68.01140291499999,624.8,3,15.284571665397031,68.01140152461683,0.1262362403236697,0.397747320840134,"[0,50]"
511890.6224589805,7544162.96335523,NA,4.144045355538745,2.331025512490544,2021-01-06T11:49:10Z,00:00:06,15.28456767,68.0114035,624.8,4,15.28456767,68.0114035,624.8,4,15.284572872090925,68.01140256383624,0.12635959774518543,0.5241069185853194,"[0,50]"
511890.6725575091,7544163.079581134,NA,4.0837306116815055,2.2970984690708467,2021-01-06T11:49:11Z,NA,NA,NA,NA,NA,15.28455242,68.01140699999999,624.9,5,15.284574083868328,68.0114036042205,0.161301963089436,0.6854088816747554,"[0,50]"
511890.7228963963,7544163.196013135,NA,4.023415867824266,2.2631714256511493,2021-01-06T11:49:12Z,00:00:07,15.28453717,68.0114105,625,6,15.28453717,68.0114105,625,6,15.284575301420864,68.01140464644331,0.16152527480307968,0.8469341564778351,"[0,50]"
511890.77350419475,7544163.312726476,NA,3.9631011239670255,2.229244382231452,2021-01-06T11:49:13Z,NA,NA,NA,NA,NA,15.28454117,68.011410165,625.05,7,15.28457652544015,68.01140569117841,0.1366863318004644,0.9836204882782996,"[0,50]"
511890.8244094563,7544163.429796398,NA,3.9027863801097857,2.1953173388117544,2021-01-06T11:49:14Z,00:00:09,15.28454517,68.01140983,625.1,8,15.28454517,68.01140983,625.1,8,15.284577756617791,68.01140673909947,0.13710110197236594,1.1207215902506655,"[0,50]"
511890.8756407338,7544163.547298149,NA,3.842471636252546,2.161390295392057,2021-01-06T11:49:15Z,NA,NA,NA,NA,NA,15.2845455,68.011408915,625.2,9,15.284578995645417,68.01140779088021,0.16257707528124274,1.2832986655319083,"[0,50]"
